# Loss rate for electron-pair production with the Blackbody_2400.0eV
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.75	5.900484e+02
6.80	2.526585e+04
6.85	1.845757e+05
6.90	6.935824e+05
6.95	1.833865e+06
7.00	3.900223e+06
7.05	7.153503e+06
7.10	1.178772e+07
7.15	1.791268e+07
7.20	2.554982e+07
7.25	3.463808e+07
7.30	4.504599e+07
7.35	5.658721e+07
7.40	6.903703e+07
7.45	8.214815e+07
7.50	9.566469e+07
7.55	1.093340e+08
7.60	1.229158e+08
7.65	1.361892e+08
7.70	1.489573e+08
7.75	1.610501e+08
7.80	1.723259e+08
7.85	1.827205e+08
7.90	1.920817e+08
7.95	2.003675e+08
8.00	2.075519e+08
8.05	2.136202e+08
8.10	2.185719e+08
8.15	2.224201e+08
8.20	2.251916e+08
8.25	2.269251e+08
8.30	2.276692e+08
8.35	2.274809e+08
8.40	2.264231e+08
8.45	2.245631e+08
8.50	2.219709e+08
8.55	2.187174e+08
8.60	2.148736e+08
8.65	2.105090e+08
8.70	2.056914e+08
8.75	2.004856e+08
8.80	1.949535e+08
8.85	1.891532e+08
8.90	1.831391e+08
8.95	1.769617e+08
9.00	1.706676e+08
9.05	1.642992e+08
9.10	1.578953e+08
9.15	1.514907e+08
9.20	1.451167e+08
9.25	1.388009e+08
9.30	1.325679e+08
9.35	1.264390e+08
9.40	1.204326e+08
9.45	1.145644e+08
9.50	1.088477e+08
9.55	1.032933e+08
9.60	9.790994e+07
9.65	9.270456e+07
9.70	8.768219e+07
9.75	8.284635e+07
9.80	7.819912e+07
9.85	7.374133e+07
9.90	6.947267e+07
9.95	6.539185e+07
10.00	6.149673e+07
10.05	5.778441e+07
10.10	5.425136e+07
10.15	5.089351e+07
10.20	4.770632e+07
10.25	4.468491e+07
10.30	4.182409e+07
10.35	3.911844e+07
10.40	3.656238e+07
10.45	3.415021e+07
10.50	3.187618e+07
10.55	2.973448e+07
10.60	2.771935e+07
10.65	2.582505e+07
10.70	2.404593e+07
10.75	2.237641e+07
10.80	2.081106e+07
10.85	1.934455e+07
10.90	1.797172e+07
10.95	1.668756e+07
11.00	1.548722e+07
11.05	1.436603e+07
11.10	1.331950e+07
11.15	1.234330e+07
11.20	1.143332e+07
11.25	1.058559e+07
11.30	9.796344e+06
11.35	9.061987e+06
11.40	8.379102e+06
11.45	7.744442e+06
11.50	7.154928e+06
11.55	6.607643e+06
11.60	6.099831e+06
11.65	5.628885e+06
11.70	5.192349e+06
11.75	4.787904e+06
11.80	4.413371e+06
11.85	4.066698e+06
11.90	3.745959e+06
11.95	3.449345e+06
12.00	3.175160e+06
12.05	2.921816e+06
12.10	2.687825e+06
12.15	2.471796e+06
12.20	2.272430e+06
12.25	2.088512e+06
12.30	1.918909e+06
12.35	1.762566e+06
12.40	1.618498e+06
12.45	1.485788e+06
12.50	1.363583e+06
12.55	1.251091e+06
12.60	1.147573e+06
12.65	1.052345e+06
12.70	9.647720e+05
12.75	8.842628e+05
12.80	8.102709e+05
12.85	7.422891e+05
12.90	6.798479e+05
12.95	6.225123e+05
13.00	5.698800e+05
13.05	5.215786e+05
13.10	4.772639e+05
13.15	4.366179e+05
13.20	3.993468e+05
13.25	3.651791e+05
13.30	3.338646e+05
13.35	3.051721e+05
13.40	2.788885e+05
13.45	2.548176e+05
13.50	2.327782e+05
13.55	2.126037e+05
13.60	1.941405e+05
13.65	1.772472e+05
13.70	1.617938e+05
13.75	1.476607e+05
13.80	1.347378e+05
13.85	1.229241e+05
13.90	1.121266e+05
13.95	1.022598e+05
14.00	9.324540e+04
