# Photo-pion interaction rate with the Blackbody_2400.0eV
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	5.484316e+19	4.987706e+19
6.04	5.406678e+19	4.926620e+19
6.08	5.334552e+19	4.870511e+19
6.12	5.267659e+19	4.819085e+19
6.16	5.205722e+19	4.772064e+19
6.20	5.148469e+19	4.729182e+19
6.24	5.095638e+19	4.690186e+19
6.28	5.046976e+19	4.654839e+19
6.32	5.002242e+19	4.622919e+19
6.36	4.961206e+19	4.594213e+19
6.40	4.923652e+19	4.568527e+19
6.44	4.889374e+19	4.545675e+19
6.48	4.858180e+19	4.525487e+19
6.52	4.829892e+19	4.507803e+19
6.56	4.804342e+19	4.492474e+19
6.60	4.781375e+19	4.479366e+19
6.64	4.760848e+19	4.468350e+19
6.68	4.742627e+19	4.459311e+19
6.72	4.726591e+19	4.452143e+19
6.76	4.712627e+19	4.446745e+19
6.80	4.700631e+19	4.443030e+19
6.84	4.690509e+19	4.440914e+19
6.88	4.682173e+19	4.440322e+19
6.92	4.675543e+19	4.441185e+19
6.96	4.670546e+19	4.443440e+19
7.00	4.667116e+19	4.447029e+19
7.04	4.665189e+19	4.451899e+19
7.08	4.664710e+19	4.458003e+19
7.12	4.665626e+19	4.465295e+19
7.16	4.667889e+19	4.473735e+19
7.20	4.671456e+19	4.483286e+19
7.24	4.676284e+19	4.493914e+19
7.28	4.682335e+19	4.505586e+19
7.32	4.689576e+19	4.518274e+19
7.36	4.697972e+19	4.531950e+19
7.40	4.707493e+19	4.546589e+19
7.44	4.718111e+19	4.562168e+19
7.48	4.729799e+19	4.578664e+19
7.52	4.742532e+19	4.596059e+19
7.56	4.756286e+19	4.614332e+19
7.60	4.771038e+19	4.633465e+19
7.64	4.786769e+19	4.653443e+19
7.68	4.803457e+19	4.674250e+19
7.72	4.821085e+19	4.695869e+19
7.76	4.839635e+19	4.718289e+19
7.80	4.859089e+19	4.741495e+19
7.84	4.879432e+19	4.765474e+19
7.88	4.900647e+19	4.790216e+19
7.92	4.922722e+19	4.815709e+19
7.96	4.945641e+19	4.841943e+19
8.00	4.969392e+19	4.868907e+19
8.04	4.993963e+19	4.896592e+19
8.08	5.019340e+19	4.924988e+19
8.12	5.045512e+19	4.954088e+19
8.16	5.072470e+19	4.983884e+19
8.20	5.100201e+19	5.014367e+19
8.24	5.128697e+19	5.045529e+19
8.28	5.157948e+19	5.077366e+19
8.32	5.187945e+19	5.109869e+19
8.36	5.218679e+19	5.143032e+19
8.40	5.250141e+19	5.176850e+19
8.44	5.282325e+19	5.211316e+19
8.48	5.315222e+19	5.246426e+19
8.52	5.348820e+19	5.282169e+19
8.56	5.383102e+19	5.318526e+19
8.60	5.418015e+19	5.355444e+19
8.64	5.453433e+19	5.392783e+19
8.68	5.489048e+19	5.430214e+19
8.72	5.524208e+19	5.467037e+19
8.76	5.557670e+19	5.501937e+19
8.80	5.587321e+19	5.532704e+19
8.84	5.609929e+19	5.555995e+19
8.88	5.621045e+19	5.567258e+19
8.92	5.615147e+19	5.560903e+19
8.96	5.586073e+19	5.530772e+19
9.00	5.527714e+19	5.470840e+19
9.04	5.434835e+19	5.376042e+19
9.08	5.303864e+19	5.243039e+19
9.12	5.133462e+19	5.070759e+19
9.16	4.924782e+19	4.860612e+19
9.20	4.681371e+19	4.616359e+19
9.24	4.408766e+19	4.343685e+19
9.28	4.113892e+19	4.049583e+19
9.32	3.804381e+19	3.741676e+19
9.36	3.487918e+19	3.427580e+19
9.40	3.171706e+19	3.114378e+19
9.44	2.862068e+19	2.808252e+19
9.48	2.564222e+19	2.514264e+19
9.52	2.282185e+19	2.236287e+19
9.56	2.018801e+19	1.977031e+19
9.60	1.775839e+19	1.738152e+19
9.64	1.554138e+19	1.520401e+19
9.68	1.353779e+19	1.323791e+19
9.72	1.174248e+19	1.147763e+19
9.76	1.014598e+19	9.913415e+18
9.80	8.735842e+18	8.532689e+18
9.84	7.497792e+18	7.321161e+18
9.88	6.416652e+18	6.263729e+18
9.92	5.477055e+18	5.345160e+18
9.96	4.663966e+18	4.550598e+18
10.00	3.963051e+18	3.865908e+18
10.04	3.360911e+18	3.277904e+18
10.08	2.845225e+18	2.774474e+18
10.12	2.404804e+18	2.344637e+18
10.16	2.029603e+18	1.978541e+18
10.20	1.710681e+18	1.667428e+18
10.24	1.440147e+18	1.403569e+18
10.28	1.211078e+18	1.180192e+18
10.32	1.017439e+18	9.913953e+17
10.36	8.539936e+17	8.320608e+17
10.40	7.162208e+17	6.977705e+17
10.44	6.002295e+17	5.847247e+17
10.48	5.026841e+17	4.896666e+17
10.52	4.207333e+17	4.098133e+17
10.56	3.519464e+17	3.427930e+17
10.60	2.942565e+17	2.865892e+17
10.64	2.459095e+17	2.394911e+17
10.68	2.054197e+17	2.000499e+17
10.72	1.715312e+17	1.670410e+17
10.76	1.431835e+17	1.394306e+17
10.80	1.194828e+17	1.163475e+17
10.84	9.967645e+16	9.705809e+16
10.88	8.313150e+16	8.094567e+16
10.92	6.931620e+16	6.749204e+16
10.96	5.778423e+16	5.626234e+16
11.00	4.816124e+16	4.689188e+16
11.04	4.013353e+16	3.907506e+16
11.08	3.343841e+16	3.255598e+16
11.12	2.785599e+16	2.712048e+16
11.16	2.320235e+16	2.258942e+16
11.20	1.932375e+16	1.881304e+16
11.24	1.609168e+16	1.566622e+16
11.28	1.339881e+16	1.304442e+16
11.32	1.115553e+16	1.086037e+16
11.36	9.287031e+15	9.041229e+15
11.40	7.730887e+15	7.526214e+15
11.44	6.435032e+15	6.264623e+15
11.48	5.356040e+15	5.214170e+15
11.52	4.457702e+15	4.339602e+15
11.56	3.709836e+15	3.611530e+15
11.60	3.087286e+15	3.005463e+15
11.64	2.569091e+15	2.500991e+15
11.68	2.137787e+15	2.081110e+15
11.72	1.778823e+15	1.731657e+15
11.76	1.480085e+15	1.440835e+15
11.80	1.231478e+15	1.198817e+15
11.84	1.024600e+15	9.974234e+14
11.88	8.524541e+14	8.298412e+14
11.92	7.092139e+14	6.903992e+14
11.96	5.900301e+14	5.743760e+14
12.00	4.908656e+14	4.778414e+14
12.04	4.083600e+14	3.975243e+14
12.08	3.397165e+14	3.307017e+14
12.12	2.826075e+14	2.751078e+14
12.16	2.350958e+14	2.288566e+14
12.20	1.955693e+14	1.903788e+14
12.24	1.626865e+14	1.583686e+14
12.28	1.353312e+14	1.317392e+14
12.32	1.125745e+14	1.095864e+14
12.36	9.364373e+13	9.115806e+13
12.40	7.789577e+13	7.582805e+13
12.44	6.479567e+13	6.307564e+13
12.48	5.389832e+13	5.246753e+13
12.52	4.483343e+13	4.364325e+13
12.56	3.729291e+13	3.630289e+13
12.60	3.102048e+13	3.019696e+13
12.64	2.580291e+13	2.511789e+13
12.68	2.146284e+13	2.089303e+13
12.72	1.785270e+13	1.737874e+13
12.76	1.484976e+13	1.445551e+13
12.80	1.235189e+13	1.202395e+13
12.84	1.027415e+13	1.000138e+13
12.88	8.545899e+12	8.319006e+12
12.92	7.108343e+12	6.919615e+12
12.96	5.912594e+12	5.755613e+12
13.00	4.917982e+12	4.787406e+12
13.04	4.090675e+12	3.982064e+12
13.08	3.402533e+12	3.312192e+12
13.12	2.830147e+12	2.755004e+12
13.16	2.354047e+12	2.291544e+12
13.20	1.958036e+12	1.906048e+12
13.24	1.628643e+12	1.585400e+12
13.28	1.354660e+12	1.318692e+12
13.32	1.126768e+12	1.096851e+12
13.36	9.372134e+11	9.123288e+11
13.40	7.795465e+11	7.588482e+11
13.44	6.484033e+11	6.311870e+11
13.48	5.393220e+11	5.250020e+11
13.52	4.485913e+11	4.366803e+11
13.56	3.731241e+11	3.632169e+11
13.60	3.103527e+11	3.021122e+11
13.64	2.581413e+11	2.512871e+11
13.68	2.147135e+11	2.090124e+11
13.72	1.785916e+11	1.738496e+11
13.76	1.485465e+11	1.446023e+11
13.80	1.235560e+11	1.202753e+11
13.84	1.027697e+11	1.000410e+11
13.88	8.548037e+10	8.321067e+10
13.92	7.109965e+10	6.921179e+10
13.96	5.913824e+10	5.756799e+10
14.00	4.918915e+10	4.788306e+10
14.04	4.091383e+10	3.982747e+10
14.08	3.403070e+10	3.312710e+10
14.12	2.830554e+10	2.755397e+10
14.16	2.354356e+10	2.291842e+10
14.20	1.958271e+10	1.906274e+10
14.24	1.628820e+10	1.585571e+10
14.28	1.354795e+10	1.318822e+10
14.32	1.126871e+10	1.096950e+10
14.36	9.372910e+09	9.124037e+09
14.40	7.796054e+09	7.589050e+09
14.44	6.484480e+09	6.312301e+09
