A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
1  	NN     	0  	1  	0.0        	     	1/2+      	B-      	613.9 S 6     	613.9             	1H      	BM       	            	301.37    	          	782.3470  	10        	100       	          	0.301       	          
1  	NN     	0  	1  	0.0        	     	1/2+      	B-      	613.9 S 6     	613.9             	1H      	BM AV    	            	301.37    	          	          	          	100       	          	0.301       	          
3  	H      	1  	2  	0.0        	     	1/2+      	B-      	12.32 Y 2     	3.888E8           	3HE     	BM       	            	5.6817    	12        	18.591    	3         	100       	          	0.0056817   	          
3  	H      	1  	2  	0.0        	     	1/2+      	B-      	12.32 Y 2     	3.888E8           	3HE     	BM AV    	            	5.682     	          	          	          	100       	          	0.00568     	          
6  	HE     	2  	4  	0          	     	0+        	B-      	806.7 MS 1    	0.807             	6LI     	BM       	            	1567.62   	54        	3507.8    	11        	100       	          	1.5676      	          
6  	HE     	2  	4  	0          	     	0+        	B-      	806.7 MS 1    	0.807             	6LI     	BM AV    	            	1567.62   	          	          	          	100       	          	1.568       	          
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	BM       	            	384       	3         	981       	7         	0.90      	10        	0.0035      	4         
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	BM       	            	2543      	4         	5501      	7         	8         	8         	0.20        	20        
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	BM       	            	3567      	4         	7571      	7         	8         	8         	0.3         	3         
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	BM       	            	4607      	4         	9671      	7         	84.0      	10        	3.87        	5         
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	BM AV    	            	4.3E+3    	6         	          	          	101       	11        	4.4         	8         
8  	HE     	2  	6  	0.         	     	0+        	B-      	119.1 MS 12   	0.119             	8LI     	G        	            	980.      	          	          	          	84.0      	10        	0.823       	10        
7  	BE     	4  	3  	0.0        	     	3/2-      	EC      	53.22 D 6     	4598208           	7LI     	G        	            	477.6035  	20        	          	          	10.44     	4         	0.04986     	19        
10 	BE     	4  	6  	0.0        	     	0+        	B-      	1.51E+6 Y 6   	4.765E13          	10B     	BM       	            	202.56    	25        	556.0     	6         	100       	          	0.20256     	          
10 	BE     	4  	6  	0.0        	     	0+        	B-      	1.51E+6 Y 6   	4.765E13          	10B     	BM AV    	            	202.56    	          	          	          	100       	          	0.203       	          
12 	BE     	4  	8  	0.0        	     	0+        	B-      	21.3 MS 1     	0.0213            	12B     	BM       	            	5615      	8         	11708     	15        	100       	          	5.615       	          
12 	BE     	4  	8  	0.0        	     	0+        	B-      	21.3 MS 1     	0.0213            	12B     	BM AV    	            	5615      	          	          	          	100       	          	5.615       	          
12 	B      	5  	7  	0.0        	     	1+        	B-      	20.20 MS 2    	0.0202            	12C     	BM       	            	1.35E3    	15        	13370.3   	13        	0.080     	20        	0.0011      	3         
12 	B      	5  	7  	0.0        	     	1+        	B-      	20.20 MS 2    	0.0202            	12C     	BM       	            	2644.2    	13        	5715.0    	25        	1.5       	3         	0.040       	8         
12 	B      	5  	7  	0.0        	     	1+        	B-      	20.20 MS 2    	0.0202            	12C     	BM       	            	4234.58   	67        	8930.4    	13        	1.23      	5         	0.0521      	21        
12 	B      	5  	7  	0.0        	     	1+        	B-      	20.20 MS 2    	0.0202            	12C     	BM       	            	6438.60   	65        	13369.3   	13        	97.2      	3         	6.260       	19        
12 	B      	5  	7  	0.0        	     	1+        	B-      	20.20 MS 2    	0.0202            	12C     	BM AV    	            	6.35E+3   	3         	          	          	100.0     	4         	6.35        	4         
13 	B      	5  	8  	0          	     	3/2-      	B-N     	17.33 MS 17   	0.0173            	12C     	G        	            	4438      	          	          	          	1.00E-3   	          	4.4E-5      	          
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	1579.5    	25        	3540      	5         	0.022     	7         	3.5E-4      	11        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	2085      	10        	4577      	20        	0.16      	3         	0.0033      	6         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	2730.5    	16        	5890      	3         	0.094     	20        	0.0026      	5         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	4558.3    	6         	9583.4    	11        	0.4       	4         	0.016       	16        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	4642.2    	6         	9752.7    	11        	7.6       	8         	0.35        	4         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	4937.5    	6         	10347.8   	11        	0.4       	4         	0.017       	17        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM       	            	6471.84   	          	13437.2   	11        	92.1      	8         	5.96        	5         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	BM AV    	            	6.31E+3   	10        	          	          	100.7     	12        	6.35        	13        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	169.300   	4         	          	          	0.005     	5         	8.E-6       	8         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	595.013   	11        	          	          	0.057     	7         	3.4E-4      	4         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	764.316   	10        	          	          	0.15      	15        	0.0011      	11        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	3089.049  	20        	          	          	0.4       	4         	0.011       	11        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	3683.921  	23        	          	          	7.6       	8         	0.28        	3         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	3853.170  	22        	          	          	0.25      	25        	0.010       	10        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	7545      	3         	          	          	0.094     	20        	0.0071      	15        
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	8857      	20        	          	          	0.16      	3         	0.014       	3         
13 	B      	5  	8  	0          	     	3/2-      	B-      	17.36 MS 16   	0.0174            	13C     	G        	            	9893      	5         	          	          	0.022     	7         	0.0022      	7         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	BP       	            	353.45    	26        	886.0     	6         	1.4601    	19        	0.005161    	8         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	BP       	            	814.26    	28        	1907.6    	6         	98.500    	20        	0.8020      	3         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	BP AV    	            	807.5     	4         	          	          	99.960    	20        	0.8072      	4         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	E        	Auger K     	0.17      	          	          	          	0.03125   	3         	5.312E-8    	6         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	XR ka1      	0.183     	          	          	          	3.4E-5    	16        	6.E-11      	3         
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	XR ka2      	0.183     	          	          	          	1.8E-5    	7         	3.2E-11     	13        
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	Annihil.    	511.0     	          	          	          	199.92    	4         	            	          
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	            	718.353   	19        	          	          	100       	          	0.718353    	          
10 	C      	6  	4  	0.0        	     	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	            	1021.646  	14        	          	          	1.4615    	19        	0.014931    	19        
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	BP       	            	385.70    	44        	960.4     	10        	99.7669   	25        	0.3848      	4         
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	BP AV    	            	385.7     	4         	          	          	99.7669   	25        	0.3848      	4         
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	E        	Auger K     	0.17      	          	          	          	0.2216    	8         	3.767E-7    	14        
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	G        	XR ka1      	0.183     	          	          	          	2.4E-4    	11        	4.5E-10     	20        
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	G        	XR ka2      	0.183     	          	          	          	1.2E-4    	5         	2.3E-10     	9         
11 	C      	6  	5  	0.0        	     	3/2-      	B+      	1221.8 S 8    	1221.8            	11B     	G        	Annihil.    	511.0     	          	          	          	199.534   	5         	            	          
14 	C      	6  	8  	0          	     	0+        	B-      	5700 Y 30     	1.799E11          	14N     	BM       	            	49.47     	          	156.475   	4         	100       	          	0.0495      	          
14 	C      	6  	8  	0          	     	0+        	B-      	5700 Y 30     	1.799E11          	14N     	BM AV    	            	49.47     	          	          	          	100       	          	0.0495      	          
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	268.4     	4         	722.0     	8         	0.034     	3         	9.1E-5      	8         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	475.3     	4         	1200.3    	8         	0.0130    	20        	6.2E-5      	10        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	591.7     	4         	1459.1    	8         	0.041     	5         	2.4E-4      	3         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	1064.0    	4         	2470.9    	8         	0.0074    	8         	7.9E-5      	9         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	1533.5    	4         	3447.9    	8         	0.0020    	20        	3.E-5       	3         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	2032.8    	4         	4472.9    	8         	63.2      	8         	1.285       	16        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM       	            	4649.61   	          	9771.7    	8         	36.8      	8         	1.71        	4         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	BM AV    	            	2.99E+3   	5         	          	          	100.1     	11        	3.00        	6         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	977.02    	2         	          	          	1.2E-5    	12        	1.2E-7      	12        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1011.75   	4         	          	          	0.0018    	4         	1.8E-5      	4         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1157.52   	4         	          	          	5.E-4     	3         	6.E-6       	3         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1416.28   	12        	          	          	4.7E-4    	10        	6.7E-6      	14        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1748.77   	7         	          	          	4.1E-4    	14        	7.2E-6      	24        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1884.77   	2         	          	          	1.0E-3    	3         	1.9E-5      	6         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	1988.70   	4         	          	          	0.0018    	5         	3.6E-5      	10        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	2001.86   	2         	          	          	1.9E-5    	10        	3.8E-7      	20        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	2030.53   	2         	          	          	5.8E-5    	12        	1.18E-6     	24        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	2247.44   	12        	          	          	1.8E-4    	8         	4.0E-6      	18        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	2725.66   	7         	          	          	0.0015    	4         	4.1E-5      	11        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	3013.47   	3         	          	          	0.0041    	10        	1.2E-4      	3         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	3042.13   	3         	          	          	7.E-4     	7         	2.1E-5      	21        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	3300.85   	12        	          	          	0.0084    	14        	2.8E-4      	5         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	3779.04   	7         	          	          	0.0012    	4         	4.5E-5      	15        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	5269.161  	14        	          	          	0.0037    	9         	1.9E-4      	5         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	5297.817  	14        	          	          	63.2      	8         	3.35        	4         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	6322.35   	2         	          	          	0.0055    	20        	3.5E-4      	13        
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	7298.92   	2         	          	          	0.0095    	10        	6.9E-4      	7         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	8310.15   	3         	          	          	0.032     	4         	0.0027      	3         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	8568.77   	12        	          	          	0.0043    	7         	3.7E-4      	6         
15 	C      	6  	9  	0          	     	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	            	9046.78   	7         	          	          	0.031     	3         	0.0028      	3         
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	495.2     	14        	1206      	3         	0.0044    	15        	2.2E-5      	7         
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	1625      	3         	3606      	6         	0.31      	12        	0.0050      	20        
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	2804      	148       	16317.1   	10        	0.46      	15        	0.013       	4         
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	4113.4    	5         	8661.9    	10        	2.7       	4         	0.111       	16        
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	5711.6    	5         	11877.2   	10        	1.90      	3         	0.1084      	18        
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP       	            	7922.9    	5         	16316.1   	10        	94.6      	6         	7.49        	5         
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	BP AV    	            	7.73E+3   	8         	          	          	99.9      	7         	7.73        	10        
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	E        	Auger K     	0.26      	          	          	          	8.E-6     	3         	2.1E-11     	7         
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	XR ka1      	0.277     	          	          	          	1.5E-8    	8         	4.2E-14     	23        
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	XR ka2      	0.277     	          	          	          	7.E-9     	4         	2.0E-14     	11        
