# IRB spectrum at z=0.4 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.0102228	0.0979217
0.1	0.101591
0.101108	0.185114
0.110424	0.434323
0.133169	2.28033
0.177339	5.52437
0.23616	6.57652
0.284804	6.37481
0.351119	6.27795
0.428133	6.38076
0.499533	7.83733
0.595826	9.7801
0.7427	11.2791
0.946404	13.426
1.21934	13.8647
1.65995	14.0953
2.04647	12.8274
2.52298	11.1335
2.97635	8.5158
3.43467	6.93785
4.14214	5.14192
4.88647	4.25602
5.57714	3.69335
6.95193	3.58034
8.11131	3.75534
10	4.19621
12.3285	4.13245
15.5377	3.94336
19.7993	3.5327
23.8776	3.26593
29.1149	3.11625
32.1497	2.97276
41.8803	3.48332
48.3293	5.17087
53.9582	6.8723
60.2427	9.5766
67.2591	12.332
73.4562	16.6498
81.1131	19.1964
90.5603	22.4854
102.228	26.3386
121.934	27.6274
142.269	25.9456
164.177	23.6082
189.458	19.8508
231.013	14.7126
269.539	10.5643
325.059	7.35044
383.471	4.65179
452.379	2.99078
522.039	1.83381
609.101	1.07242
702.894	0.657561
793.454	0.416101
936.035	0.214468
989.043	0.177473
