# IRB spectrum at z=0 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
#0.0106042	0.100515
0.108004	0.0999824
0.131465	0.59631
0.172908	2.01281
0.243002	4.72253
0.357061	5.7039
0.425743	6.17053
0.536264	7.94205
0.682947	10.2219
0.84152	13.1572
1.01444	15.1623
1.26395	16.9278
1.64574	17.7392
2.23948	16.3795
2.82198	12.7125
3.59536	9.71151
4.43228	6.85565
5.46395	4.91673
6.51661	3.87727
7.27515	3.36227
8.48614	3.46904
9.68368	3.4136
10.8092	3.57848
12.608	3.87142
15.0338	3.99416
17.5367	3.99275
20.6839	3.68794
25.7758	3.29997
31.7706	2.861
37.4707	2.77091
44.1891	3.04543
51.5369	3.79845
60.1011	5.29198
67.8134	7.37332
79.9551	10.6022
93.2417	14.7709
109.949	18.4226
126.838	20.8992
149.583	22.2549
194.794	19.5994
237.481	16.2057
283.23	12.9832
334.122	9.46058
377.168	7.46144
449.894	4.9449
530.785	3.17522
640.183	1.91385
763.711	1.10017
931.467	0.531461
984.255	0.453697
