# IRB spectrum at z=2 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.0098556	0.105395
0.0925665	0.100018
0.0958171	0.155455
0.0992666	0.315818
0.1074	0.506529
0.118811	0.851675
0.125696	1.22341
0.13592	1.65
0.155211	1.81302
0.175303	2.02382
0.209154	2.023
0.241404	1.99073
0.291083	1.72685
0.328599	1.64668
0.379286	1.64614
0.428278	1.69836
0.500001	1.89569
0.564642	2.01843
0.711959	2.08193
0.948682	2.18126
1.23652	2.28543
1.59384	2.32038
1.90104	2.11026
2.21784	1.88926
2.61496	1.46779
3.01635	1.19559
3.29373	1.08755
3.88526	0.973629
4.19663	0.928523
4.89918	1.02021
5.91215	1.13866
7.29561	1.37494
8.8023	1.44086
10.5026	1.46315
12.6658	1.33062
15.9623	1.17244
21.259	1.04934
25.9301	1.04887
30.9403	1.082
34.5691	1.2864
38.6332	1.65474
42.6906	1.96738
46.1536	2.49134
49.9077	3.36004
55.1796	4.7507
59.6498	5.82935
65.921	7.15255
74.4959	9.49482
86.976	10.7663
100.417	11.6448
117.163	10.759
135.174	9.33372
155.931	7.72352
183.824	5.72353
223.876	3.56635
263.75	2.15344
314.142	1.25994
370	0.703155
435.702	0.368457
496.565	0.219022
572.151	0.126152
604.15	0.0995907
970.987	0.099483
