# Loss rate for electron-pair production with the CMB
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
8.15	4.656842e-12
8.20	2.993317e-11
8.25	1.597493e-10
8.30	7.218766e-10
8.35	2.810638e-09
8.40	9.576660e-09
8.45	2.895357e-08
8.50	7.863652e-08
8.55	1.939785e-07
8.60	4.388805e-07
8.65	9.187549e-07
8.70	1.793511e-06
8.75	3.287671e-06
8.80	5.694550e-06
8.85	9.372110e-06
8.90	1.472946e-05
8.95	2.220462e-05
9.00	3.223585e-05
9.05	4.522967e-05
9.10	6.152936e-05
9.15	8.138739e-05
9.20	1.049443e-04
9.25	1.322156e-04
9.30	1.630881e-04
9.35	1.973230e-04
9.40	2.345685e-04
9.45	2.743755e-04
9.50	3.162188e-04
9.55	3.595200e-04
9.60	4.036695e-04
9.65	4.480493e-04
9.70	4.920516e-04
9.75	5.350970e-04
9.80	5.766472e-04
9.85	6.162165e-04
9.90	6.533788e-04
9.95	6.877722e-04
10.00	7.191010e-04
10.05	7.471352e-04
10.10	7.717091e-04
10.15	7.927175e-04
10.20	8.101120e-04
10.25	8.238956e-04
10.30	8.341176e-04
10.35	8.408681e-04
10.40	8.442717e-04
10.45	8.444824e-04
10.50	8.416778e-04
10.55	8.360536e-04
10.60	8.278190e-04
10.65	8.171920e-04
10.70	8.043952e-04
10.75	7.896526e-04
10.80	7.731860e-04
10.85	7.552125e-04
10.90	7.359427e-04
10.95	7.155785e-04
11.00	6.943117e-04
11.05	6.723233e-04
11.10	6.497826e-04
11.15	6.268468e-04
11.20	6.036609e-04
11.25	5.803572e-04
11.30	5.570562e-04
11.35	5.338664e-04
11.40	5.108847e-04
11.45	4.881972e-04
11.50	4.658793e-04
11.55	4.439967e-04
11.60	4.226055e-04
11.65	4.017535e-04
11.70	3.814802e-04
11.75	3.618177e-04
11.80	3.427916e-04
11.85	3.244208e-04
11.90	3.067190e-04
11.95	2.896946e-04
12.00	2.733515e-04
12.05	2.576897e-04
12.10	2.427053e-04
12.15	2.283916e-04
12.20	2.147389e-04
12.25	2.017353e-04
12.30	1.893668e-04
12.35	1.776179e-04
12.40	1.664714e-04
12.45	1.559092e-04
12.50	1.459122e-04
12.55	1.364607e-04
12.60	1.275346e-04
12.65	1.191133e-04
12.70	1.111762e-04
12.75	1.037027e-04
12.80	9.667216e-05
12.85	9.006430e-05
12.90	8.385912e-05
12.95	7.803696e-05
13.00	7.257863e-05
13.05	6.746544e-05
13.10	6.267922e-05
13.15	5.820240e-05
13.20	5.401799e-05
13.25	5.010962e-05
13.30	4.646157e-05
13.35	4.305875e-05
13.40	3.988671e-05
13.45	3.693165e-05
13.50	3.418040e-05
13.55	3.162042e-05
13.60	2.923979e-05
13.65	2.702719e-05
13.70	2.497188e-05
13.75	2.306369e-05
13.80	2.129303e-05
13.85	1.965081e-05
13.90	1.812847e-05
13.95	1.671795e-05
14.00	1.541164e-05
