# Loss rate for electron-pair production with the cosmic infrared and optical background radiation (best) model of Dominguez et al. 2011 (arXiv:1007.1459)
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.113451e-09
6.05	1.393326e-09
6.10	1.727091e-09
6.15	2.119897e-09
6.20	2.575960e-09
6.25	3.098221e-09
6.30	3.688049e-09
6.35	4.345085e-09
6.40	5.067100e-09
6.45	5.850056e-09
6.50	6.688244e-09
6.55	7.574668e-09
6.60	8.501534e-09
6.65	9.461024e-09
6.70	1.044614e-08
6.75	1.145138e-08
6.80	1.247365e-08
6.85	1.351231e-08
6.90	1.456964e-08
6.95	1.565016e-08
7.00	1.676013e-08
7.05	1.790731e-08
7.10	1.910083e-08
7.15	2.035214e-08
7.20	2.167592e-08
7.25	2.309189e-08
7.30	2.462732e-08
7.35	2.632128e-08
7.40	2.823169e-08
7.45	3.044628e-08
7.50	3.309843e-08
7.55	3.638707e-08
7.60	4.059907e-08
7.65	4.613514e-08
7.70	5.353421e-08
7.75	6.349767e-08
7.80	7.690847e-08
7.85	9.484038e-08
7.90	1.185528e-07
7.95	1.494668e-07
8.00	1.891179e-07
8.05	2.390796e-07
8.10	3.008646e-07
8.15	3.758129e-07
8.20	4.649639e-07
8.25	5.689552e-07
8.30	6.879224e-07
8.35	8.214480e-07
8.40	9.685503e-07
8.45	1.127697e-06
8.50	1.296883e-06
8.55	1.473724e-06
8.60	1.655565e-06
8.65	1.839592e-06
8.70	2.022967e-06
8.75	2.202899e-06
8.80	2.376725e-06
8.85	2.542001e-06
8.90	2.696569e-06
8.95	2.838614e-06
9.00	2.966686e-06
9.05	3.079703e-06
9.10	3.176945e-06
9.15	3.258022e-06
9.20	3.322842e-06
9.25	3.371594e-06
9.30	3.404644e-06
9.35	3.422601e-06
9.40	3.426199e-06
9.45	3.416285e-06
9.50	3.393800e-06
9.55	3.359753e-06
9.60	3.315171e-06
9.65	3.261118e-06
9.70	3.198642e-06
9.75	3.128760e-06
9.80	3.052501e-06
9.85	2.970825e-06
9.90	2.884647e-06
9.95	2.794827e-06
10.00	2.702174e-06
10.05	2.607435e-06
10.10	2.511296e-06
10.15	2.414384e-06
10.20	2.317261e-06
10.25	2.220435e-06
10.30	2.124355e-06
10.35	2.029416e-06
10.40	1.935965e-06
10.45	1.844301e-06
10.50	1.754677e-06
10.55	1.667309e-06
10.60	1.582375e-06
10.65	1.500017e-06
10.70	1.420348e-06
10.75	1.343453e-06
10.80	1.269392e-06
10.85	1.198201e-06
10.90	1.129896e-06
10.95	1.064477e-06
11.00	1.001928e-06
11.05	9.422166e-07
11.10	8.853020e-07
11.15	8.311312e-07
11.20	7.796435e-07
11.25	7.307707e-07
11.30	6.844387e-07
11.35	6.405688e-07
11.40	5.990786e-07
11.45	5.598829e-07
11.50	5.228949e-07
11.55	4.880263e-07
11.60	4.551887e-07
11.65	4.242934e-07
11.70	3.952527e-07
11.75	3.679799e-07
11.80	3.423894e-07
11.85	3.183978e-07
11.90	2.959233e-07
11.95	2.748868e-07
12.00	2.552110e-07
12.05	2.368218e-07
12.10	2.196472e-07
12.15	2.036182e-07
12.20	1.886685e-07
12.25	1.747346e-07
12.30	1.617557e-07
12.35	1.496739e-07
12.40	1.384339e-07
12.45	1.279833e-07
12.50	1.182720e-07
12.55	1.092529e-07
12.60	1.008812e-07
12.65	9.311444e-08
12.70	8.591264e-08
12.75	7.923806e-08
12.80	7.305513e-08
12.85	6.733036e-08
12.90	6.203228e-08
12.95	5.713130e-08
13.00	5.259968e-08
13.05	4.841139e-08
13.10	4.454207e-08
13.15	4.096889e-08
13.20	3.767054e-08
13.25	3.462707e-08
13.30	3.181988e-08
13.35	2.923160e-08
13.40	2.684603e-08
13.45	2.464812e-08
13.50	2.262381e-08
13.55	2.076005e-08
13.60	1.904467e-08
13.65	1.746640e-08
13.70	1.601474e-08
13.75	1.467997e-08
13.80	1.345306e-08
13.85	1.232564e-08
13.90	1.128996e-08
13.95	1.033883e-08
14.00	9.465604e-09
