# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Finke et al. 2010 (Model C)
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.248915e-09
6.05	1.560213e-09
6.10	1.928283e-09
6.15	2.357450e-09
6.20	2.851012e-09
6.25	3.411001e-09
6.30	4.038023e-09
6.35	4.731191e-09
6.40	5.488171e-09
6.45	6.305331e-09
6.50	7.178053e-09
6.55	8.101114e-09
6.60	9.069256e-09
6.65	1.007774e-08
6.70	1.112293e-08
6.75	1.220285e-08
6.80	1.331758e-08
6.85	1.446954e-08
6.90	1.566349e-08
6.95	1.690645e-08
7.00	1.820726e-08
7.05	1.957590e-08
7.10	2.102298e-08
7.15	2.255874e-08
7.20	2.419238e-08
7.25	2.593173e-08
7.30	2.778276e-08
7.35	2.975076e-08
7.40	3.184183e-08
7.45	3.406656e-08
7.50	3.644531e-08
7.55	3.901589e-08
7.60	4.184300e-08
7.65	4.502889e-08
7.70	4.872569e-08
7.75	5.314464e-08
7.80	5.856403e-08
7.85	6.533554e-08
7.90	7.387952e-08
7.95	8.468040e-08
8.00	9.827292e-08
8.05	1.152212e-07
8.10	1.360954e-07
8.15	1.614430e-07
8.20	1.917585e-07
8.25	2.274499e-07
8.30	2.688137e-07
8.35	3.160094e-07
8.40	3.690420e-07
8.45	4.277495e-07
8.50	4.918044e-07
8.55	5.607163e-07
8.60	6.338464e-07
8.65	7.104296e-07
8.70	7.895966e-07
8.75	8.704062e-07
8.80	9.518561e-07
8.85	1.032883e-06
8.90	1.112372e-06
8.95	1.189211e-06
9.00	1.262330e-06
9.05	1.330762e-06
9.10	1.393664e-06
9.15	1.450353e-06
9.20	1.500290e-06
9.25	1.543115e-06
9.30	1.578610e-06
9.35	1.606704e-06
9.40	1.627452e-06
9.45	1.641011e-06
9.50	1.647634e-06
9.55	1.647652e-06
9.60	1.641442e-06
9.65	1.629435e-06
9.70	1.612086e-06
9.75	1.589877e-06
9.80	1.563286e-06
9.85	1.532769e-06
9.90	1.498846e-06
9.95	1.461965e-06
10.00	1.422567e-06
10.05	1.381075e-06
10.10	1.337892e-06
10.15	1.293395e-06
10.20	1.247936e-06
10.25	1.201836e-06
10.30	1.155390e-06
10.35	1.108863e-06
10.40	1.062495e-06
10.45	1.016497e-06
10.50	9.710564e-07
10.55	9.263363e-07
10.60	8.824777e-07
10.65	8.396012e-07
10.70	7.978080e-07
10.75	7.571820e-07
10.80	7.177907e-07
10.85	6.796874e-07
10.90	6.429117e-07
10.95	6.074918e-07
11.00	5.734446e-07
11.05	5.407780e-07
11.10	5.094910e-07
11.15	4.795756e-07
11.20	4.510170e-07
11.25	4.237950e-07
11.30	3.978844e-07
11.35	3.732560e-07
11.40	3.498774e-07
11.45	3.277130e-07
11.50	3.067254e-07
11.55	2.868751e-07
11.60	2.681215e-07
11.65	2.504231e-07
11.70	2.337378e-07
11.75	2.180234e-07
11.80	2.032375e-07
11.85	1.893383e-07
11.90	1.762843e-07
11.95	1.640347e-07
12.00	1.525497e-07
12.05	1.417903e-07
12.10	1.317186e-07
12.15	1.222977e-07
12.20	1.134922e-07
12.25	1.052678e-07
12.30	9.759147e-08
12.35	9.043151e-08
12.40	8.375759e-08
12.45	7.754069e-08
12.50	7.175309e-08
12.55	6.636841e-08
12.60	6.136154e-08
12.65	5.670862e-08
12.70	5.238705e-08
12.75	4.837540e-08
12.80	4.465342e-08
12.85	4.120195e-08
12.90	3.800296e-08
12.95	3.503942e-08
13.00	3.229532e-08
13.05	2.975559e-08
13.10	2.740607e-08
13.15	2.523350e-08
13.20	2.322541e-08
13.25	2.137014e-08
13.30	1.965678e-08
13.35	1.807510e-08
13.40	1.661556e-08
13.45	1.526927e-08
13.50	1.402789e-08
13.55	1.288368e-08
13.60	1.182941e-08
13.65	1.085837e-08
13.70	9.964289e-09
13.75	9.141350e-09
13.80	8.384147e-09
13.85	7.687656e-09
13.90	7.047215e-09
13.95	6.458498e-09
14.00	5.917494e-09
