# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Franceschini et al. 2008
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.062625e-09
6.05	1.345062e-09
6.10	1.681400e-09
6.15	2.075899e-09
6.20	2.531882e-09
6.25	3.051536e-09
6.30	3.635720e-09
6.35	4.283818e-09
6.40	4.993605e-09
6.45	5.761460e-09
6.50	6.582417e-09
6.55	7.450570e-09
6.60	8.359339e-09
6.65	9.301753e-09
6.70	1.027089e-08
6.75	1.126045e-08
6.80	1.226549e-08
6.85	1.328339e-08
6.90	1.431475e-08
6.95	1.536431e-08
7.00	1.644114e-08
7.05	1.755871e-08
7.10	1.873448e-08
7.15	1.998999e-08
7.20	2.135192e-08
7.25	2.285355e-08
7.30	2.453670e-08
7.35	2.645460e-08
7.40	2.867712e-08
7.45	3.129820e-08
7.50	3.444510e-08
7.55	3.828810e-08
7.60	4.305304e-08
7.65	4.904121e-08
7.70	5.665452e-08
7.75	6.642435e-08
7.80	7.904139e-08
7.85	9.537974e-08
7.90	1.165136e-07
7.95	1.437029e-07
8.00	1.783431e-07
8.05	2.218726e-07
8.10	2.756820e-07
8.15	3.410078e-07
8.20	4.188277e-07
8.25	5.097752e-07
8.30	6.140558e-07
8.35	7.313931e-07
8.40	8.609983e-07
8.45	1.001608e-06
8.50	1.151485e-06
8.55	1.308533e-06
8.60	1.470387e-06
8.65	1.634502e-06
8.70	1.798222e-06
8.75	1.958934e-06
8.80	2.114125e-06
8.85	2.261511e-06
8.90	2.399139e-06
8.95	2.525334e-06
9.00	2.638816e-06
9.05	2.738640e-06
9.10	2.824209e-06
9.15	2.895206e-06
9.20	2.951599e-06
9.25	2.993588e-06
9.30	3.021567e-06
9.35	3.036095e-06
9.40	3.037867e-06
9.45	3.027668e-06
9.50	3.006354e-06
9.55	2.974837e-06
9.60	2.934055e-06
9.65	2.884944e-06
9.70	2.828441e-06
9.75	2.765492e-06
9.80	2.696983e-06
9.85	2.623767e-06
9.90	2.546657e-06
9.95	2.466422e-06
10.00	2.383776e-06
10.05	2.299379e-06
10.10	2.213835e-06
10.15	2.127692e-06
10.20	2.041445e-06
10.25	1.955536e-06
10.30	1.870356e-06
10.35	1.786249e-06
10.40	1.703517e-06
10.45	1.622416e-06
10.50	1.543168e-06
10.55	1.465957e-06
10.60	1.390934e-06
10.65	1.318222e-06
10.70	1.247917e-06
10.75	1.180088e-06
10.80	1.114785e-06
10.85	1.052037e-06
10.90	9.918564e-07
10.95	9.342383e-07
11.00	8.791657e-07
11.05	8.266095e-07
11.10	7.765302e-07
11.15	7.288796e-07
11.20	6.836021e-07
11.25	6.406361e-07
11.30	5.999147e-07
11.35	5.613673e-07
11.40	5.249201e-07
11.45	4.904969e-07
11.50	4.580201e-07
11.55	4.274114e-07
11.60	3.985918e-07
11.65	3.714827e-07
11.70	3.460063e-07
11.75	3.220856e-07
11.80	2.996450e-07
11.85	2.786104e-07
11.90	2.589098e-07
11.95	2.404729e-07
12.00	2.232317e-07
12.05	2.071207e-07
12.10	1.920763e-07
12.15	1.780378e-07
12.20	1.649466e-07
12.25	1.527468e-07
12.30	1.413850e-07
12.35	1.308100e-07
12.40	1.209733e-07
12.45	1.118288e-07
12.50	1.033324e-07
12.55	9.544262e-08
12.60	8.812014e-08
12.65	8.132769e-08
12.70	7.503014e-08
12.75	6.919435e-08
12.80	6.378907e-08
12.85	5.878494e-08
12.90	5.415432e-08
12.95	4.987127e-08
13.00	4.591145e-08
13.05	4.225205e-08
13.10	3.887169e-08
13.15	3.575040e-08
13.20	3.286947e-08
13.25	3.021143e-08
13.30	2.776000e-08
13.35	2.549996e-08
13.40	2.341713e-08
13.45	2.149832e-08
13.50	1.973123e-08
13.55	1.810442e-08
13.60	1.660727e-08
13.65	1.522991e-08
13.70	1.396315e-08
13.75	1.279849e-08
13.80	1.172803e-08
13.85	1.074446e-08
13.90	9.840991e-09
13.95	9.011346e-09
14.00	8.249713e-09
