# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Gilmore et al. 2012 (Evolving dust model, arXiv:1104.0671)
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.495517e-09
6.05	1.832491e-09
6.10	2.227031e-09
6.15	2.683626e-09
6.20	3.205694e-09
6.25	3.795339e-09
6.30	4.453107e-09
6.35	5.177803e-09
6.40	5.966475e-09
6.45	6.814453e-09
6.50	7.715566e-09
6.55	8.662499e-09
6.60	9.647360e-09
6.65	1.066228e-08
6.70	1.170012e-08
6.75	1.275491e-08
6.80	1.382216e-08
6.85	1.489933e-08
6.90	1.598600e-08
6.95	1.708428e-08
7.00	1.819852e-08
7.05	1.933577e-08
7.10	2.050572e-08
7.15	2.172070e-08
7.20	2.299668e-08
7.25	2.435417e-08
7.30	2.582037e-08
7.35	2.743237e-08
7.40	2.924100e-08
7.45	3.131604e-08
7.50	3.375262e-08
7.55	3.667880e-08
7.60	4.026375e-08
7.65	4.472721e-08
7.70	5.034929e-08
7.75	5.747986e-08
7.80	6.654646e-08
7.85	7.805765e-08
7.90	9.260348e-08
7.95	1.108418e-07
8.00	1.334822e-07
8.05	1.612542e-07
8.10	1.948713e-07
8.15	2.349831e-07
8.20	2.821284e-07
8.25	3.366884e-07
8.30	3.988506e-07
8.35	4.685707e-07
8.40	5.455627e-07
8.45	6.292941e-07
8.50	7.189985e-07
8.55	8.136952e-07
8.60	9.122372e-07
8.65	1.013344e-06
8.70	1.115650e-06
8.75	1.217755e-06
8.80	1.318279e-06
8.85	1.415881e-06
8.90	1.509328e-06
8.95	1.597471e-06
9.00	1.679349e-06
9.05	1.754125e-06
9.10	1.821141e-06
9.15	1.879894e-06
9.20	1.930044e-06
9.25	1.971406e-06
9.30	2.003957e-06
9.35	2.027753e-06
9.40	2.043029e-06
9.45	2.050056e-06
9.50	2.049205e-06
9.55	2.040930e-06
9.60	2.025700e-06
9.65	2.004089e-06
9.70	1.976600e-06
9.75	1.943815e-06
9.80	1.906306e-06
9.85	1.864633e-06
9.90	1.819343e-06
9.95	1.770970e-06
10.00	1.720020e-06
10.05	1.666978e-06
10.10	1.612293e-06
10.15	1.556387e-06
10.20	1.499651e-06
10.25	1.442439e-06
10.30	1.385077e-06
10.35	1.327856e-06
10.40	1.271039e-06
10.45	1.214857e-06
10.50	1.159514e-06
10.55	1.105187e-06
10.60	1.052030e-06
10.65	1.000169e-06
10.70	9.497147e-07
10.75	9.007530e-07
10.80	8.533542e-07
10.85	8.075713e-07
10.90	7.634428e-07
10.95	7.209935e-07
11.00	6.802364e-07
11.05	6.411736e-07
11.10	6.037980e-07
11.15	5.680942e-07
11.20	5.340396e-07
11.25	5.016053e-07
11.30	4.707573e-07
11.35	4.414573e-07
11.40	4.136628e-07
11.45	3.873290e-07
11.50	3.624083e-07
11.55	3.388517e-07
11.60	3.166086e-07
11.65	2.956278e-07
11.70	2.758576e-07
11.75	2.572462e-07
11.80	2.397423e-07
11.85	2.232948e-07
11.90	2.078535e-07
11.95	1.933692e-07
12.00	1.797937e-07
12.05	1.670801e-07
12.10	1.551829e-07
12.15	1.440580e-07
12.20	1.336628e-07
12.25	1.239562e-07
12.30	1.148989e-07
12.35	1.064530e-07
12.40	9.858228e-08
12.45	9.125223e-08
12.50	8.442984e-08
12.55	7.808373e-08
12.60	7.218407e-08
12.65	6.670254e-08
12.70	6.161229e-08
12.75	5.688791e-08
12.80	5.250538e-08
12.85	4.844205e-08
12.90	4.467652e-08
12.95	4.118866e-08
13.00	3.795951e-08
13.05	3.497126e-08
13.10	3.220718e-08
13.15	2.965159e-08
13.20	2.728976e-08
13.25	2.510792e-08
13.30	2.309318e-08
13.35	2.123349e-08
13.40	1.951759e-08
13.45	1.793498e-08
13.50	1.647583e-08
13.55	1.513103e-08
13.60	1.389204e-08
13.65	1.275095e-08
13.70	1.170039e-08
13.75	1.073350e-08
13.80	9.843907e-09
13.85	9.025702e-09
13.90	8.273394e-09
13.95	7.581891e-09
14.00	6.946474e-09
