# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Kneiske et al. 2004
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.594209e-09
6.05	1.991754e-09
6.10	2.469910e-09
6.15	3.038196e-09
6.20	3.704937e-09
6.25	4.476590e-09
6.30	5.357176e-09
6.35	6.347826e-09
6.40	7.446499e-09
6.45	8.647971e-09
6.50	9.944078e-09
6.55	1.132427e-08
6.60	1.277630e-08
6.65	1.428734e-08
6.70	1.584498e-08
6.75	1.743834e-08
6.80	1.905964e-08
6.85	2.070420e-08
6.90	2.237208e-08
6.95	2.406770e-08
7.00	2.579990e-08
7.05	2.758098e-08
7.10	2.942565e-08
7.15	3.135011e-08
7.20	3.337098e-08
7.25	3.550494e-08
7.30	3.776824e-08
7.35	4.017839e-08
7.40	4.275684e-08
7.45	4.553558e-08
7.50	4.856358e-08
7.55	5.192067e-08
7.60	5.573494e-08
7.65	6.021327e-08
7.70	6.567729e-08
7.75	7.261315e-08
7.80	8.172733e-08
7.85	9.397632e-08
7.90	1.105437e-07
7.95	1.327780e-07
8.00	1.621184e-07
8.05	2.000025e-07
8.10	2.477686e-07
8.15	3.065597e-07
8.20	3.772304e-07
8.25	4.602701e-07
8.30	5.557520e-07
8.35	6.633124e-07
8.40	7.821360e-07
8.45	9.110129e-07
8.50	1.048361e-06
8.55	1.192303e-06
8.60	1.340766e-06
8.65	1.491535e-06
8.70	1.642371e-06
8.75	1.791049e-06
8.80	1.935478e-06
8.85	2.073720e-06
8.90	2.204038e-06
8.95	2.324937e-06
9.00	2.435204e-06
9.05	2.533838e-06
9.10	2.619990e-06
9.15	2.693632e-06
9.20	2.754079e-06
9.25	2.801462e-06
9.30	2.835961e-06
9.35	2.857919e-06
9.40	2.867819e-06
9.45	2.866256e-06
9.50	2.853938e-06
9.55	2.831626e-06
9.60	2.800114e-06
9.65	2.760239e-06
9.70	2.712864e-06
9.75	2.658817e-06
9.80	2.598941e-06
9.85	2.534038e-06
9.90	2.464884e-06
9.95	2.392212e-06
10.00	2.316714e-06
10.05	2.239040e-06
10.10	2.159788e-06
10.15	2.079506e-06
10.20	1.998693e-06
10.25	1.917804e-06
10.30	1.837244e-06
10.35	1.757375e-06
10.40	1.678514e-06
10.45	1.600940e-06
10.50	1.524893e-06
10.55	1.450577e-06
10.60	1.378165e-06
10.65	1.307798e-06
10.70	1.239591e-06
10.75	1.173633e-06
10.80	1.109990e-06
10.85	1.048708e-06
10.90	9.898154e-07
10.95	9.333234e-07
11.00	8.792289e-07
11.05	8.275160e-07
11.10	7.781581e-07
11.15	7.311187e-07
11.20	6.863532e-07
11.25	6.438100e-07
11.30	6.034320e-07
11.35	5.651569e-07
11.40	5.289190e-07
11.45	4.946496e-07
11.50	4.622778e-07
11.55	4.317312e-07
11.60	4.029367e-07
11.65	3.758206e-07
11.70	3.503097e-07
11.75	3.263312e-07
11.80	3.038130e-07
11.85	2.826847e-07
11.90	2.628768e-07
11.95	2.443220e-07
12.00	2.269547e-07
12.05	2.107110e-07
12.10	1.955296e-07
12.15	1.813511e-07
12.20	1.681184e-07
12.25	1.557768e-07
12.30	1.442737e-07
12.35	1.335591e-07
12.40	1.235850e-07
12.45	1.143058e-07
12.50	1.056783e-07
12.55	9.766105e-08
12.60	9.021518e-08
12.65	8.330367e-08
12.70	7.689154e-08
12.75	7.094576e-08
12.80	6.543517e-08
12.85	6.033042e-08
12.90	5.560386e-08
12.95	5.122951e-08
13.00	4.718297e-08
13.05	4.344132e-08
13.10	3.998309e-08
13.15	3.678817e-08
13.20	3.383772e-08
13.25	3.111414e-08
13.30	2.860098e-08
13.35	2.628288e-08
13.40	2.414551e-08
13.45	2.217550e-08
13.50	2.036041e-08
13.55	1.868865e-08
13.60	1.714944e-08
13.65	1.573274e-08
13.70	1.442925e-08
13.75	1.323030e-08
13.80	1.212786e-08
13.85	1.111449e-08
13.90	1.018328e-08
13.95	9.327813e-09
14.00	8.542170e-09
