# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	3.273524e-09
6.05	3.885607e-09
6.10	4.573187e-09
6.15	5.338499e-09
6.20	6.183000e-09
6.25	7.107492e-09
6.30	8.112250e-09
6.35	9.197145e-09
6.40	1.036179e-08
6.45	1.160554e-08
6.50	1.292755e-08
6.55	1.432682e-08
6.60	1.580235e-08
6.65	1.735322e-08
6.70	1.897883e-08
6.75	2.067913e-08
6.80	2.245486e-08
6.85	2.430787e-08
6.90	2.624135e-08
6.95	2.826015e-08
7.00	3.037084e-08
7.05	3.258201e-08
7.10	3.490436e-08
7.15	3.735061e-08
7.20	3.993598e-08
7.25	4.267808e-08
7.30	4.559796e-08
7.35	4.872135e-08
7.40	5.208031e-08
7.45	5.571660e-08
7.50	5.968662e-08
7.55	6.406755e-08
7.60	6.896592e-08
7.65	7.452853e-08
7.70	8.095585e-08
7.75	8.851670e-08
7.80	9.756412e-08
7.85	1.085525e-07
7.90	1.220477e-07
7.95	1.387310e-07
8.00	1.593961e-07
8.05	1.849274e-07
8.10	2.162631e-07
8.15	2.543439e-07
8.20	3.000512e-07
8.25	3.541236e-07
8.30	4.169713e-07
8.35	4.884245e-07
8.40	5.676790e-07
8.45	6.533955e-07
8.50	7.438595e-07
8.55	8.371540e-07
8.60	9.313083e-07
8.65	1.024423e-06
8.70	1.114752e-06
8.75	1.200764e-06
8.80	1.281175e-06
8.85	1.354954e-06
8.90	1.421317e-06
8.95	1.479724e-06
9.00	1.529846e-06
9.05	1.571530e-06
9.10	1.604803e-06
9.15	1.629827e-06
9.20	1.646849e-06
9.25	1.656236e-06
9.30	1.658357e-06
9.35	1.653633e-06
9.40	1.642690e-06
9.45	1.625996e-06
9.50	1.604063e-06
9.55	1.577422e-06
9.60	1.546613e-06
9.65	1.512168e-06
9.70	1.474604e-06
9.75	1.434412e-06
9.80	1.392059e-06
9.85	1.347980e-06
9.90	1.302577e-06
9.95	1.256218e-06
10.00	1.209240e-06
10.05	1.161948e-06
10.10	1.114614e-06
10.15	1.067481e-06
10.20	1.020764e-06
10.25	9.746521e-07
10.30	9.293091e-07
10.35	8.848758e-07
10.40	8.414718e-07
10.45	7.991971e-07
10.50	7.581341e-07
10.55	7.183485e-07
10.60	6.798915e-07
10.65	6.428007e-07
10.70	6.071019e-07
10.75	5.728099e-07
10.80	5.399302e-07
10.85	5.084598e-07
10.90	4.783882e-07
10.95	4.496985e-07
11.00	4.223685e-07
11.05	3.963710e-07
11.10	3.716747e-07
11.15	3.482454e-07
11.20	3.260459e-07
11.25	3.050369e-07
11.30	2.851775e-07
11.35	2.664257e-07
11.40	2.487385e-07
11.45	2.320727e-07
11.50	2.163848e-07
11.55	2.016315e-07
11.60	1.877700e-07
11.65	1.747578e-07
11.70	1.625535e-07
11.75	1.511165e-07
11.80	1.404070e-07
11.85	1.303867e-07
11.90	1.210183e-07
11.95	1.122657e-07
12.00	1.040944e-07
12.05	9.647090e-08
12.10	8.936327e-08
12.15	8.274092e-08
12.20	7.657460e-08
12.25	7.083644e-08
12.30	6.549988e-08
12.35	6.053970e-08
12.40	5.593196e-08
12.45	5.165397e-08
12.50	4.768426e-08
12.55	4.400254e-08
12.60	4.058965e-08
12.65	3.742753e-08
12.70	3.449918e-08
12.75	3.178858e-08
12.80	2.928071e-08
12.85	2.696144e-08
12.90	2.481754e-08
12.95	2.283658e-08
13.00	2.100696e-08
13.05	1.931781e-08
13.10	1.775896e-08
13.15	1.632093e-08
13.20	1.499486e-08
13.25	1.377248e-08
13.30	1.264612e-08
13.35	1.160858e-08
13.40	1.065322e-08
13.45	9.773812e-09
13.50	8.964600e-09
13.55	8.220225e-09
13.60	7.535712e-09
13.65	6.906447e-09
13.70	6.328150e-09
13.75	5.796855e-09
13.80	5.308887e-09
13.85	4.860844e-09
13.90	4.449578e-09
13.95	4.072175e-09
14.00	3.725944e-09
