# Loss rate for electron-pair production with the cosmic infrared and optical background radiation (lower) model of Stecker et al. 2016 (arXiv:1605.01382)
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	7.911881e-10
6.05	9.748798e-10
6.10	1.186384e-09
6.15	1.425954e-09
6.20	1.693212e-09
6.25	1.987215e-09
6.30	2.306462e-09
6.35	2.648967e-09
6.40	3.012292e-09
6.45	3.393650e-09
6.50	3.790023e-09
6.55	4.198267e-09
6.60	4.615482e-09
6.65	5.039104e-09
6.70	5.467135e-09
6.75	5.898218e-09
6.80	6.331805e-09
6.85	6.768228e-09
6.90	7.209100e-09
6.95	7.657541e-09
7.00	8.118637e-09
7.05	8.599569e-09
7.10	9.110196e-09
7.15	9.663249e-09
7.20	1.027496e-08
7.25	1.096631e-08
7.30	1.176370e-08
7.35	1.270066e-08
7.40	1.381934e-08
7.45	1.517184e-08
7.50	1.682272e-08
7.55	1.885227e-08
7.60	2.136232e-08
7.65	2.448580e-08
7.70	2.839873e-08
7.75	3.333417e-08
7.80	3.959035e-08
7.85	4.753232e-08
7.90	5.758206e-08
7.95	7.020059e-08
8.00	8.585739e-08
8.05	1.049988e-07
8.10	1.280072e-07
8.15	1.551704e-07
8.20	1.866483e-07
8.25	2.224540e-07
8.30	2.624413e-07
8.35	3.063108e-07
8.40	3.536143e-07
8.45	4.037807e-07
8.50	4.561315e-07
8.55	5.099240e-07
8.60	5.643654e-07
8.65	6.186489e-07
8.70	6.719692e-07
8.75	7.235451e-07
8.80	7.726510e-07
8.85	8.186402e-07
8.90	8.609609e-07
8.95	8.991687e-07
9.00	9.329267e-07
9.05	9.620077e-07
9.10	9.862832e-07
9.15	1.005710e-06
9.20	1.020333e-06
9.25	1.030260e-06
9.30	1.035662e-06
9.35	1.036750e-06
9.40	1.033780e-06
9.45	1.027027e-06
9.50	1.016788e-06
9.55	1.003377e-06
9.60	9.871064e-07
9.65	9.682905e-07
9.70	9.472336e-07
9.75	9.242476e-07
9.80	8.996185e-07
9.85	8.736203e-07
9.90	8.465131e-07
9.95	8.185407e-07
10.00	7.899294e-07
10.05	7.608860e-07
10.10	7.316003e-07
10.15	7.022434e-07
10.20	6.729688e-07
10.25	6.439129e-07
10.30	6.151961e-07
10.35	5.869234e-07
10.40	5.591859e-07
10.45	5.320611e-07
10.50	5.056145e-07
10.55	4.799002e-07
10.60	4.549622e-07
10.65	4.308348e-07
10.70	4.075441e-07
10.75	3.851086e-07
10.80	3.635396e-07
10.85	3.428426e-07
10.90	3.230176e-07
10.95	3.040596e-07
11.00	2.859600e-07
11.05	2.687062e-07
11.10	2.522823e-07
11.15	2.366703e-07
11.20	2.218496e-07
11.25	2.077980e-07
11.30	1.944919e-07
11.35	1.819063e-07
11.40	1.700157e-07
11.45	1.587937e-07
11.50	1.482139e-07
11.55	1.382494e-07
11.60	1.288736e-07
11.65	1.200599e-07
11.70	1.117820e-07
11.75	1.040142e-07
11.80	9.673109e-08
11.85	8.990809e-08
11.90	8.352115e-08
11.95	7.754696e-08
12.00	7.196300e-08
12.05	6.674752e-08
12.10	6.187960e-08
12.15	5.733917e-08
12.20	5.310697e-08
12.25	4.916460e-08
12.30	4.549450e-08
12.35	4.207992e-08
12.40	3.890495e-08
12.45	3.595446e-08
12.50	3.321410e-08
12.55	3.067029e-08
12.60	2.831018e-08
12.65	2.612164e-08
12.70	2.409320e-08
12.75	2.221409e-08
12.80	2.047413e-08
12.85	1.886378e-08
12.90	1.737407e-08
12.95	1.599655e-08
13.00	1.472335e-08
13.05	1.354705e-08
13.10	1.246074e-08
13.15	1.145794e-08
13.20	1.053259e-08
13.25	9.679044e-09
13.30	8.892027e-09
13.35	8.166624e-09
13.40	7.498254e-09
13.45	6.882651e-09
13.50	6.315848e-09
13.55	5.794153e-09
13.60	5.314137e-09
13.65	4.872615e-09
13.70	4.466629e-09
13.75	4.093438e-09
13.80	3.750498e-09
13.85	3.435451e-09
13.90	3.146115e-09
13.95	2.880469e-09
14.00	2.636642e-09
