# Loss rate for electron-pair production with the cosmic infrared and optical background radiation (upper) model of Stecker et al. 2016 (arXiv:1605.01382)
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.819294e-09
6.05	2.220525e-09
6.10	2.686401e-09
6.15	3.219632e-09
6.20	3.821518e-09
6.25	4.491950e-09
6.30	5.229537e-09
6.35	6.031742e-09
6.40	6.894992e-09
6.45	7.814931e-09
6.50	8.786636e-09
6.55	9.804997e-09
6.60	1.086524e-08
6.65	1.196357e-08
6.70	1.309780e-08
6.75	1.426755e-08
6.80	1.547481e-08
6.85	1.672416e-08
6.90	1.802351e-08
6.95	1.938442e-08
7.00	2.082212e-08
7.05	2.235613e-08
7.10	2.401007e-08
7.15	2.581168e-08
7.20	2.779398e-08
7.25	2.999671e-08
7.30	3.246960e-08
7.35	3.527554e-08
7.40	3.849536e-08
7.45	4.223268e-08
7.50	4.662097e-08
7.55	5.183328e-08
7.60	5.809983e-08
7.65	6.573146e-08
7.70	7.515231e-08
7.75	8.693180e-08
7.80	1.018085e-07
7.85	1.206899e-07
7.90	1.446275e-07
7.95	1.747704e-07
8.00	2.122911e-07
8.05	2.583011e-07
8.10	3.137553e-07
8.15	3.793758e-07
8.20	4.555665e-07
8.25	5.423742e-07
8.30	6.394598e-07
8.35	7.461059e-07
8.40	8.612331e-07
8.45	9.834638e-07
8.50	1.111146e-06
8.55	1.242475e-06
8.60	1.375514e-06
8.65	1.508308e-06
8.70	1.638878e-06
8.75	1.765302e-06
8.80	1.885811e-06
8.85	1.998786e-06
8.90	2.102880e-06
8.95	2.196977e-06
9.00	2.280240e-06
9.05	2.352085e-06
9.10	2.412191e-06
9.15	2.460431e-06
9.20	2.496903e-06
9.25	2.521867e-06
9.30	2.535728e-06
9.35	2.538993e-06
9.40	2.532290e-06
9.45	2.516275e-06
9.50	2.491694e-06
9.55	2.459294e-06
9.60	2.419853e-06
9.65	2.374131e-06
9.70	2.322876e-06
9.75	2.266856e-06
9.80	2.206770e-06
9.85	2.143292e-06
9.90	2.077062e-06
9.95	2.008678e-06
10.00	1.938696e-06
10.05	1.867627e-06
10.10	1.795938e-06
10.15	1.724051e-06
10.20	1.652343e-06
10.25	1.581151e-06
10.30	1.510773e-06
10.35	1.441467e-06
10.40	1.373460e-06
10.45	1.306941e-06
10.50	1.242075e-06
10.55	1.178994e-06
10.60	1.117807e-06
10.65	1.058602e-06
10.70	1.001442e-06
10.75	9.463729e-07
10.80	8.934250e-07
10.85	8.426118e-07
10.90	7.939341e-07
10.95	7.473810e-07
11.00	7.029309e-07
11.05	6.605538e-07
11.10	6.202119e-07
11.15	5.818606e-07
11.20	5.454504e-07
11.25	5.109269e-07
11.30	4.782324e-07
11.35	4.473062e-07
11.40	4.180856e-07
11.45	3.905065e-07
11.50	3.645037e-07
11.55	3.400119e-07
11.60	3.169654e-07
11.65	2.952994e-07
11.70	2.749495e-07
11.75	2.558524e-07
11.80	2.379460e-07
11.85	2.211701e-07
11.90	2.054655e-07
11.95	1.907751e-07
12.00	1.770436e-07
12.05	1.642177e-07
12.10	1.522460e-07
12.15	1.410792e-07
12.20	1.306700e-07
12.25	1.209733e-07
12.30	1.119459e-07
12.35	1.035467e-07
12.40	9.573666e-08
12.45	8.847849e-08
12.50	8.173700e-08
12.55	7.547883e-08
12.60	6.967240e-08
12.65	6.428789e-08
12.70	5.929713e-08
12.75	5.467362e-08
12.80	5.039238e-08
12.85	4.642992e-08
12.90	4.276418e-08
12.95	3.937445e-08
13.00	3.624131e-08
13.05	3.334658e-08
13.10	3.067321e-08
13.15	2.820528e-08
13.20	2.592792e-08
13.25	2.382722e-08
13.30	2.189021e-08
13.35	2.010480e-08
13.40	1.845972e-08
13.45	1.694449e-08
13.50	1.554935e-08
13.55	1.426520e-08
13.60	1.308363e-08
13.65	1.199678e-08
13.70	1.099739e-08
13.75	1.007871e-08
13.80	9.234482e-09
13.85	8.458905e-09
13.90	7.746609e-09
13.95	7.092621e-09
14.00	6.492340e-09
