# Photo-pion interaction rate with the CMB
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	0.000000e+00	0.000000e+00
7.16	0.000000e+00	0.000000e+00
7.20	0.000000e+00	0.000000e+00
7.24	0.000000e+00	0.000000e+00
7.28	0.000000e+00	0.000000e+00
7.32	0.000000e+00	0.000000e+00
7.36	0.000000e+00	0.000000e+00
7.40	0.000000e+00	0.000000e+00
7.44	0.000000e+00	0.000000e+00
7.48	0.000000e+00	0.000000e+00
7.52	0.000000e+00	0.000000e+00
7.56	0.000000e+00	0.000000e+00
7.60	0.000000e+00	0.000000e+00
7.64	0.000000e+00	0.000000e+00
7.68	0.000000e+00	0.000000e+00
7.72	0.000000e+00	0.000000e+00
7.76	0.000000e+00	0.000000e+00
7.80	0.000000e+00	0.000000e+00
7.84	0.000000e+00	0.000000e+00
7.88	0.000000e+00	0.000000e+00
7.92	0.000000e+00	0.000000e+00
7.96	0.000000e+00	0.000000e+00
8.00	0.000000e+00	0.000000e+00
8.04	0.000000e+00	0.000000e+00
8.08	0.000000e+00	0.000000e+00
8.12	0.000000e+00	0.000000e+00
8.16	0.000000e+00	0.000000e+00
8.20	0.000000e+00	0.000000e+00
8.24	0.000000e+00	0.000000e+00
8.28	0.000000e+00	0.000000e+00
8.32	0.000000e+00	0.000000e+00
8.36	0.000000e+00	0.000000e+00
8.40	0.000000e+00	0.000000e+00
8.44	0.000000e+00	0.000000e+00
8.48	0.000000e+00	0.000000e+00
8.52	0.000000e+00	0.000000e+00
8.56	0.000000e+00	0.000000e+00
8.60	0.000000e+00	0.000000e+00
8.64	0.000000e+00	0.000000e+00
8.68	4.289143e-294	3.191572e-292
8.72	2.683059e-268	1.105004e-266
8.76	8.864787e-245	2.134872e-243
8.80	2.459298e-223	3.647691e-222
8.84	8.746450e-204	8.396524e-203
8.88	5.867522e-186	3.825285e-185
8.92	1.056085e-169	4.900360e-169
8.96	7.032065e-155	2.431083e-154
9.00	2.321233e-141	6.248335e-141
9.04	4.958254e-129	1.083254e-128
9.08	8.733809e-118	1.608538e-117
9.12	1.581680e-107	2.539316e-107
9.16	3.599174e-98	5.183173e-98
9.20	1.235247e-89	1.633993e-89
9.24	7.550663e-82	9.352749e-82
9.28	9.565364e-75	1.126582e-74
9.32	2.883362e-68	3.268058e-68
9.36	2.345849e-62	2.582728e-62
9.40	5.778646e-57	6.224741e-57
9.44	4.786573e-52	5.072592e-52
9.48	1.467075e-47	1.535983e-47
9.52	1.815607e-43	1.883900e-43
9.56	9.824740e-40	1.012721e-39
