# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Finke et al. 2010 (Model C)
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	7.297380e-64	8.048935e-64
6.68	1.067747e-62	1.122086e-62
6.72	4.147197e-62	4.307200e-62
6.76	1.788043e-16	1.702014e-16
6.80	4.288177e-13	4.290628e-13
6.84	5.366647e-12	5.425482e-12
6.88	2.581798e-11	2.618804e-11
6.92	8.118005e-11	8.252072e-11
6.96	2.009589e-10	2.046679e-10
7.00	4.283835e-10	4.371355e-10
7.04	8.269670e-10	8.456131e-10
7.08	1.487156e-09	1.524158e-09
7.12	2.530036e-09	2.599427e-09
7.16	4.098721e-09	4.221607e-09
7.20	6.344624e-09	6.549443e-09
7.24	9.427278e-09	9.749616e-09
7.28	1.352301e-08	1.400565e-08
7.32	1.883101e-08	1.952397e-08
7.36	2.557703e-08	2.653658e-08
7.40	3.402383e-08	3.531086e-08
7.44	4.449392e-08	4.617302e-08
7.48	5.740710e-08	5.954726e-08
7.52	7.331798e-08	7.599553e-08
7.56	9.294162e-08	9.624519e-08
7.60	1.171767e-07	1.212120e-07
7.64	1.471272e-07	1.520223e-07
7.68	1.841150e-07	1.900298e-07
7.72	2.296775e-07	2.368144e-07
7.76	2.855472e-07	2.941593e-07
7.80	3.536055e-07	3.640001e-07
7.84	4.358184e-07	4.483558e-07
7.88	5.341643e-07	5.492516e-07
7.92	6.505385e-07	6.686167e-07
7.96	7.866338e-07	8.081543e-07
8.00	9.438130e-07	9.692016e-07
8.04	1.122986e-06	1.152594e-06
8.08	1.324494e-06	1.358543e-06
8.12	1.548029e-06	1.586546e-06
8.16	1.792588e-06	1.835341e-06
8.20	2.056481e-06	2.102915e-06
8.24	2.337390e-06	2.386571e-06
8.28	2.632451e-06	2.683030e-06
8.32	2.938374e-06	2.988561e-06
8.36	3.251570e-06	3.299145e-06
8.40	3.568304e-06	3.610641e-06
8.44	3.884861e-06	3.918984e-06
8.48	4.197724e-06	4.220385e-06
8.52	4.503765e-06	4.511551e-06
8.56	4.800456e-06	4.789911e-06
8.60	5.086093e-06	5.053863e-06
8.64	5.360028e-06	5.303011e-06
8.68	5.622876e-06	5.538381e-06
8.72	5.876659e-06	5.762560e-06
8.76	6.124873e-06	5.979747e-06
8.80	6.372432e-06	6.195678e-06
8.84	6.625499e-06	6.417418e-06
8.88	6.891194e-06	6.653029e-06
8.92	7.177199e-06	6.911124e-06
8.96	7.491273e-06	7.200316e-06
9.00	7.840717e-06	7.528628e-06
9.04	8.231868e-06	7.902915e-06
9.08	8.669643e-06	8.328365e-06
9.12	9.157202e-06	8.808106e-06
9.16	9.695723e-06	9.342961e-06
9.20	1.028431e-05	9.931349e-06
9.24	1.092004e-05	1.056935e-05
9.28	1.159820e-05	1.125095e-05
9.32	1.231266e-05	1.196856e-05
9.36	1.305662e-05	1.271374e-05
9.40	1.382351e-05	1.347834e-05
9.44	1.460847e-05	1.425597e-05
9.48	1.541029e-05	1.504423e-05
