# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Franceschini et al. 2008
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	1.474656e-11	1.561921e-11
7.16	1.685213e-10	1.741880e-10
7.20	6.358661e-10	6.534269e-10
7.24	1.590064e-09	1.631444e-09
7.28	3.225003e-09	3.310010e-09
7.32	5.799862e-09	5.961321e-09
7.36	9.695649e-09	9.987640e-09
7.40	1.543655e-08	1.594572e-08
7.44	2.359619e-08	2.444667e-08
7.48	3.446237e-08	3.578576e-08
7.52	4.810117e-08	5.001086e-08
7.56	6.483916e-08	6.743832e-08
7.60	8.537064e-08	8.877046e-08
7.64	1.106353e-07	1.149675e-07
7.68	1.418944e-07	1.473074e-07
7.72	1.807456e-07	1.874161e-07
7.76	2.291068e-07	2.372718e-07
7.80	2.891601e-07	2.991220e-07
7.84	3.629096e-07	3.750331e-07
7.88	4.518900e-07	4.665757e-07
7.92	5.575172e-07	5.751266e-07
7.96	6.813690e-07	7.022232e-07
8.00	8.250648e-07	8.495410e-07
8.04	9.901592e-07	1.018659e-06
8.08	1.177791e-06	1.210655e-06
8.12	1.388033e-06	1.425446e-06
8.16	1.619605e-06	1.661504e-06
8.20	1.870372e-06	1.916368e-06
8.24	2.137856e-06	2.187185e-06
8.28	2.419123e-06	2.470586e-06
8.32	2.710961e-06	2.762876e-06
8.36	3.009685e-06	3.059879e-06
8.40	3.311035e-06	3.356897e-06
8.44	3.611370e-06	3.649958e-06
8.48	3.908329e-06	3.936481e-06
8.52	4.199957e-06	4.214423e-06
8.56	4.484102e-06	4.481602e-06
8.60	4.758091e-06	4.735332e-06
8.64	5.018574e-06	4.972388e-06
8.68	5.262894e-06	5.190429e-06
8.72	5.489907e-06	5.388714e-06
8.76	5.699882e-06	5.568079e-06
8.80	5.895389e-06	5.731794e-06
8.84	6.081099e-06	5.885257e-06
8.88	6.262073e-06	6.034407e-06
8.92	6.443366e-06	6.185196e-06
8.96	6.630642e-06	6.343912e-06
9.00	6.831045e-06	6.518186e-06
9.04	7.055356e-06	6.719372e-06
9.08	7.317842e-06	6.962548e-06
9.12	7.633934e-06	7.264169e-06
9.16	8.018576e-06	7.640085e-06
9.20	8.485773e-06	8.104896e-06
9.24	9.048801e-06	8.672388e-06
9.28	9.720051e-06	9.355071e-06
9.32	1.050877e-05	1.016153e-05
9.36	1.142240e-05	1.109798e-05
9.40	1.247372e-05	1.217591e-05
9.44	1.368532e-05	1.341694e-05
9.48	1.509594e-05	1.485952e-05
9.52	1.676867e-05	1.656743e-05
