# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Kneiske et al. 2004
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	6.615663e-13	5.152981e-13
6.88	8.808360e-12	8.149829e-12
6.92	3.980758e-11	3.864730e-11
6.96	1.216074e-10	1.206325e-10
7.00	2.997245e-10	3.007320e-10
7.04	6.460060e-10	6.526610e-10
7.08	1.275537e-09	1.294858e-09
7.12	2.367000e-09	2.412129e-09
7.16	4.186624e-09	4.281498e-09
7.20	7.064356e-09	7.248197e-09
7.24	1.136285e-08	1.169112e-08
7.28	1.748389e-08	1.802998e-08
7.32	2.584895e-08	2.670738e-08
7.36	3.689012e-08	3.817889e-08
7.40	5.102452e-08	5.288339e-08
7.44	6.859082e-08	7.117314e-08
7.48	8.977333e-08	9.322756e-08
7.52	1.146838e-07	1.191334e-07
7.56	1.435508e-07	1.490872e-07
7.60	1.768184e-07	1.834976e-07
7.64	2.152932e-07	2.231404e-07
7.68	2.603033e-07	2.693304e-07
7.72	3.137120e-07	3.239460e-07
7.76	3.779088e-07	3.894262e-07
7.80	4.558068e-07	4.687705e-07
7.84	5.505525e-07	5.652378e-07
7.88	6.653225e-07	6.821240e-07
7.92	8.033294e-07	8.227512e-07
7.96	9.677271e-07	9.903836e-07
8.00	1.161570e-06	1.188191e-06
8.04	1.387723e-06	1.419108e-06
8.08	1.648725e-06	1.685676e-06
8.12	1.946466e-06	1.989708e-06
8.16	2.282105e-06	2.332179e-06
8.20	2.655962e-06	2.713118e-06
8.24	3.066902e-06	3.130998e-06
8.28	3.512452e-06	3.582841e-06
8.32	3.988746e-06	4.064158e-06
8.36	4.490276e-06	4.568741e-06
8.40	5.009895e-06	5.088656e-06
8.44	5.538622e-06	5.614029e-06
8.48	6.066191e-06	6.133676e-06
8.52	6.581865e-06	6.635926e-06
8.56	7.076150e-06	7.110487e-06
8.60	7.542427e-06	7.550283e-06
8.64	7.976782e-06	7.951256e-06
8.68	8.377292e-06	8.311653e-06
8.72	8.743749e-06	8.631745e-06
8.76	9.078172e-06	8.914356e-06
8.80	9.385379e-06	9.165553e-06
8.84	9.673172e-06	9.394703e-06
8.88	9.951168e-06	9.613234e-06
8.92	1.023087e-05	9.834693e-06
8.96	1.052585e-05	1.007468e-05
9.00	1.085000e-05	1.034916e-05
9.04	1.121745e-05	1.067431e-05
9.08	1.164098e-05	1.106431e-05
9.12	1.213075e-05	1.153012e-05
9.16	1.269466e-05	1.207989e-05
9.20	1.333710e-05	1.271765e-05
9.24	1.405815e-05	1.344273e-05
9.28	1.485499e-05	1.425070e-05
9.32	1.572177e-05	1.513342e-05
9.36	1.664978e-05	1.607947e-05
9.40	1.763150e-05	1.707838e-05
9.44	1.866249e-05	1.812282e-05
9.48	1.974695e-05	1.921468e-05
9.52	2.090440e-05	2.037191e-05
