# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	1.049548e-11	1.137741e-11
6.84	1.153127e-10	1.203649e-10
6.88	4.375910e-10	4.521713e-10
6.92	1.113625e-09	1.146571e-09
6.96	2.311141e-09	2.377375e-09
7.00	4.260154e-09	4.384951e-09
7.04	7.295050e-09	7.520640e-09
7.08	1.188168e-08	1.227620e-08
7.12	1.856469e-08	1.922659e-08
7.16	2.772314e-08	2.876312e-08
7.20	3.958275e-08	4.111133e-08
7.24	5.449705e-08	5.663006e-08
7.28	7.301892e-08	7.588555e-08
7.32	9.584914e-08	9.959640e-08
7.36	1.238738e-07	1.286593e-07
7.40	1.581277e-07	1.641182e-07
7.44	1.997346e-07	2.071121e-07
7.48	2.499453e-07	2.589032e-07
7.52	3.100341e-07	3.207815e-07
7.56	3.812752e-07	3.940368e-07
7.60	4.650490e-07	4.800274e-07
7.64	5.627926e-07	5.801623e-07
7.68	6.759247e-07	6.958849e-07
7.72	8.058235e-07	8.285744e-07
7.76	9.537342e-07	9.794334e-07
7.80	1.120823e-06	1.149566e-06
7.84	1.308138e-06	1.339941e-06
7.88	1.516424e-06	1.551182e-06
7.92	1.746050e-06	1.783511e-06
7.96	1.997178e-06	2.036930e-06
8.00	2.269665e-06	2.311116e-06
8.04	2.562792e-06	2.605117e-06
8.08	2.875371e-06	2.917495e-06
8.12	3.205956e-06	3.246573e-06
8.16	3.552716e-06	3.590256e-06
8.20	3.913449e-06	3.946047e-06
8.24	4.286090e-06	4.311633e-06
8.28	4.668838e-06	4.685021e-06
8.32	5.059921e-06	5.064239e-06
8.36	5.457815e-06	5.447612e-06
8.40	5.862005e-06	5.834635e-06
8.44	6.273269e-06	6.226228e-06
8.48	6.693225e-06	6.624237e-06
8.52	7.123370e-06	7.030485e-06
8.56	7.564470e-06	7.446141e-06
8.60	8.017003e-06	7.872036e-06
8.64	8.481434e-06	8.308958e-06
8.68	8.957739e-06	8.757266e-06
8.72	9.445357e-06	9.216717e-06
8.76	9.943900e-06	9.687013e-06
8.80	1.045349e-05	1.016830e-05
8.84	1.097528e-05	1.066185e-05
8.88	1.151186e-05	1.117035e-05
8.92	1.206703e-05	1.169765e-05
8.96	1.264553e-05	1.224843e-05
9.00	1.325251e-05	1.282784e-05
9.04	1.389336e-05	1.344134e-05
9.08	1.457394e-05	1.409499e-05
9.12	1.530018e-05	1.479495e-05
9.16	1.607747e-05	1.554677e-05
9.20	1.691125e-05	1.635601e-05
9.24	1.780755e-05	1.722885e-05
9.28	1.877253e-05	1.817162e-05
9.32	1.981221e-05	1.919036e-05
9.36	2.093286e-05	2.029115e-05
9.40	2.214282e-05	2.148203e-05
9.44	2.345394e-05	2.277451e-05
9.48	2.488160e-05	2.418371e-05
9.52	2.644559e-05	2.572938e-05
