# Photo-pion interaction rate with the cosmic infrared and optical background radiation (lower) model of Stecker et al. 2016 (arXiv:1605.01382)
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	1.188528e-14	1.134207e-14
6.80	1.030324e-12	1.036696e-12
6.84	8.714104e-12	8.822797e-12
6.88	3.531242e-11	3.584800e-11
6.92	1.011388e-10	1.028756e-10
6.96	2.361859e-10	2.406977e-10
7.00	4.827139e-10	4.929198e-10
7.04	9.000700e-10	9.211254e-10
7.08	1.569499e-09	1.610172e-09
7.12	2.593705e-09	2.667993e-09
7.16	4.083568e-09	4.211372e-09
7.20	6.144566e-09	6.351236e-09
7.24	8.872807e-09	9.188238e-09
7.28	1.235507e-08	1.281262e-08
7.32	1.667082e-08	1.730600e-08
7.36	2.189849e-08	2.274686e-08
7.40	2.812450e-08	2.921934e-08
7.44	3.545879e-08	3.682903e-08
7.48	4.406042e-08	4.572932e-08
7.52	5.417503e-08	5.616106e-08
7.56	6.620054e-08	6.852086e-08
7.60	8.075306e-08	8.342898e-08
7.64	9.866883e-08	1.017352e-07
7.68	1.209518e-07	1.244709e-07
7.72	1.487279e-07	1.528034e-07
7.76	1.832602e-07	1.880515e-07
7.80	2.259730e-07	2.317081e-07
7.84	2.783248e-07	2.853048e-07
7.88	3.414778e-07	3.500600e-07
7.92	4.159453e-07	4.264940e-07
7.96	5.015510e-07	5.143776e-07
8.00	5.976991e-07	6.130212e-07
8.04	7.036569e-07	7.215806e-07
8.08	8.185536e-07	8.390512e-07
8.12	9.410877e-07	9.639397e-07
8.16	1.069320e-06	1.094038e-06
8.20	1.200789e-06	1.226565e-06
8.24	1.332800e-06	1.358486e-06
8.28	1.462718e-06	1.486844e-06
8.32	1.588566e-06	1.609383e-06
8.36	1.709576e-06	1.725160e-06
8.40	1.826041e-06	1.834455e-06
8.44	1.938636e-06	1.938097e-06
8.48	2.047810e-06	2.036794e-06
8.52	2.153527e-06	2.130798e-06
8.56	2.255251e-06	2.219839e-06
8.60	2.352054e-06	2.303239e-06
8.64	2.442810e-06	2.380144e-06
8.68	2.526776e-06	2.450108e-06
8.72	2.604278e-06	2.513758e-06
8.76	2.676851e-06	2.572950e-06
8.80	2.746794e-06	2.630315e-06
8.84	2.816750e-06	2.688744e-06
8.88	2.889644e-06	2.751302e-06
8.92	2.968681e-06	2.821291e-06
8.96	3.057242e-06	2.902200e-06
9.00	3.158693e-06	2.997504e-06
9.04	3.276211e-06	3.110450e-06
9.08	3.412764e-06	3.244015e-06
9.12	3.571940e-06	3.401782e-06
9.16	3.759359e-06	3.589450e-06
9.20	3.983215e-06	3.815409e-06
9.24	4.253552e-06	4.089924e-06
9.28	4.581205e-06	4.423970e-06
9.32	4.977685e-06	4.829159e-06
9.36	5.455795e-06	5.318406e-06
9.40	6.030329e-06	5.906631e-06
9.44	6.718640e-06	6.611352e-06
9.48	7.541837e-06	7.453915e-06
