# Photo-pion interaction rate with the cosmic infrared and optical background radiation (upper) model of Stecker et al. 2016 (arXiv:1605.01382)
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	3.140324e-14	2.969385e-14
6.80	2.403458e-12	2.414125e-12
6.84	2.014168e-11	2.038164e-11
6.88	8.347689e-11	8.471992e-11
6.92	2.470177e-10	2.512011e-10
6.96	5.985946e-10	6.098408e-10
7.00	1.270371e-09	1.296642e-09
7.04	2.449520e-09	2.505244e-09
7.08	4.384689e-09	4.494704e-09
7.12	7.385185e-09	7.589624e-09
7.16	1.179566e-08	1.215324e-08
7.20	1.796436e-08	1.855315e-08
7.24	2.621691e-08	2.713292e-08
7.28	3.682606e-08	3.817898e-08
7.32	4.998298e-08	5.188823e-08
7.36	6.579710e-08	6.836459e-08
7.40	8.434105e-08	8.766510e-08
7.44	1.057255e-07	1.098781e-07
7.48	1.301880e-07	1.352147e-07
7.52	1.581779e-07	1.640981e-07
7.56	1.904213e-07	1.972324e-07
7.60	2.279579e-07	2.356431e-07
7.64	2.721099e-07	2.806523e-07
7.68	3.244352e-07	3.338429e-07
7.72	3.867485e-07	3.970861e-07
7.76	4.612187e-07	4.726416e-07
7.80	5.504165e-07	5.631967e-07
7.84	6.570612e-07	6.715889e-07
7.88	7.835251e-07	8.002744e-07
7.92	9.315025e-07	9.509663e-07
7.96	1.102097e-06	1.124730e-06
8.00	1.296275e-06	1.322481e-06
8.04	1.515417e-06	1.545583e-06
8.08	1.761060e-06	1.795568e-06
8.12	2.033440e-06	2.072568e-06
8.16	2.329924e-06	2.373616e-06
8.20	2.644723e-06	2.692336e-06
8.24	2.969989e-06	3.020096e-06
8.28	3.297614e-06	3.347906e-06
8.32	3.621681e-06	3.669059e-06
8.36	3.939622e-06	3.980421e-06
8.40	4.251258e-06	4.281510e-06
8.44	4.557484e-06	4.573163e-06
8.48	4.859300e-06	4.856531e-06
8.52	5.157149e-06	5.132366e-06
8.56	5.450881e-06	5.400860e-06
8.60	5.739926e-06	5.661789e-06
8.64	6.023345e-06	5.914768e-06
8.68	6.300851e-06	6.160298e-06
8.72	6.573693e-06	6.400547e-06
8.76	6.844797e-06	6.639499e-06
8.80	7.118734e-06	6.882700e-06
8.84	7.401592e-06	7.136873e-06
8.88	7.700925e-06	7.409995e-06
8.92	8.025812e-06	7.711562e-06
8.96	8.386785e-06	8.052567e-06
9.00	8.795030e-06	8.444645e-06
9.04	9.260694e-06	8.898223e-06
9.08	9.791529e-06	9.421093e-06
9.12	1.039444e-05	1.001999e-05
9.16	1.107856e-05	1.070391e-05
9.20	1.185630e-05	1.148531e-05
9.24	1.274166e-05	1.237816e-05
9.28	1.374857e-05	1.339607e-05
9.32	1.489210e-05	1.455354e-05
9.36	1.619098e-05	1.586873e-05
9.40	1.766931e-05	1.736519e-05
9.44	1.935781e-05	1.907326e-05
9.48	2.129761e-05	2.103383e-05
