# Photo-pion interaction rate for the cosmic infrared and optical background radiation (best) model of Dominguez et al. 2011 (arXiv:1007.1459)
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	6.00	0.000000e+00	0.000000e+00
0.00	6.04	0.000000e+00	0.000000e+00
0.00	6.08	0.000000e+00	0.000000e+00
0.00	6.12	0.000000e+00	0.000000e+00
0.00	6.16	0.000000e+00	0.000000e+00
0.00	6.20	0.000000e+00	0.000000e+00
0.00	6.24	0.000000e+00	0.000000e+00
0.00	6.28	0.000000e+00	0.000000e+00
0.00	6.32	0.000000e+00	0.000000e+00
0.00	6.36	0.000000e+00	0.000000e+00
0.00	6.40	0.000000e+00	0.000000e+00
0.00	6.44	0.000000e+00	0.000000e+00
0.00	6.48	0.000000e+00	0.000000e+00
0.00	6.52	0.000000e+00	0.000000e+00
0.00	6.56	0.000000e+00	0.000000e+00
0.00	6.60	0.000000e+00	0.000000e+00
0.00	6.64	0.000000e+00	0.000000e+00
0.00	6.68	0.000000e+00	0.000000e+00
0.00	6.72	0.000000e+00	0.000000e+00
0.00	6.76	0.000000e+00	0.000000e+00
0.00	6.80	2.660562e-15	3.488260e-15
0.00	6.84	8.249060e-13	8.642687e-13
0.00	6.88	7.839656e-12	8.046445e-12
0.00	6.92	3.765239e-11	3.843374e-11
0.00	6.96	1.218717e-10	1.242732e-10
0.00	7.00	3.087908e-10	3.150393e-10
0.00	7.04	6.664620e-10	6.808148e-10
0.00	7.08	1.288561e-09	1.318625e-09
0.00	7.12	2.304326e-09	2.363129e-09
0.00	7.16	3.885246e-09	3.993985e-09
0.00	7.20	6.231823e-09	6.422260e-09
0.00	7.24	9.542151e-09	9.856922e-09
0.00	7.28	1.398795e-08	1.447853e-08
0.00	7.32	1.971443e-08	2.043860e-08
0.00	7.36	2.685137e-08	2.787072e-08
0.00	7.40	3.552682e-08	3.690399e-08
0.00	7.44	4.589578e-08	4.769057e-08
0.00	7.48	5.817809e-08	6.044343e-08
0.00	7.52	7.269571e-08	7.547524e-08
0.00	7.56	8.993541e-08	9.326533e-08
0.00	7.60	1.105902e-07	1.145060e-07
0.00	7.64	1.356074e-07	1.401548e-07
0.00	7.68	1.662614e-07	1.715116e-07
0.00	7.72	2.041847e-07	2.102566e-07
0.00	7.76	2.512983e-07	2.583838e-07
0.00	7.80	3.096020e-07	3.179762e-07
0.00	7.84	3.810515e-07	3.910705e-07
0.00	7.88	4.674801e-07	4.795674e-07
0.00	7.92	5.705770e-07	5.852025e-07
0.00	7.96	6.918853e-07	7.095435e-07
0.00	8.00	8.327990e-07	8.539794e-07
0.00	8.04	9.944697e-07	1.019614e-06
0.00	8.08	1.177757e-06	1.207205e-06
0.00	8.12	1.383198e-06	1.417135e-06
0.00	8.16	1.610832e-06	1.649243e-06
