# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	6.00	0.000000e+00	0.000000e+00
0.00	6.04	0.000000e+00	0.000000e+00
0.00	6.08	0.000000e+00	0.000000e+00
0.00	6.12	0.000000e+00	0.000000e+00
0.00	6.16	0.000000e+00	0.000000e+00
0.00	6.20	0.000000e+00	0.000000e+00
0.00	6.24	0.000000e+00	0.000000e+00
0.00	6.28	0.000000e+00	0.000000e+00
0.00	6.32	0.000000e+00	0.000000e+00
0.00	6.36	0.000000e+00	0.000000e+00
0.00	6.40	0.000000e+00	0.000000e+00
0.00	6.44	0.000000e+00	0.000000e+00
0.00	6.48	0.000000e+00	0.000000e+00
0.00	6.52	0.000000e+00	0.000000e+00
0.00	6.56	0.000000e+00	0.000000e+00
0.00	6.60	0.000000e+00	0.000000e+00
0.00	6.64	0.000000e+00	0.000000e+00
0.00	6.68	0.000000e+00	0.000000e+00
0.00	6.72	0.000000e+00	0.000000e+00
0.00	6.76	0.000000e+00	0.000000e+00
0.00	6.80	0.000000e+00	0.000000e+00
0.00	6.84	6.615663e-13	5.152981e-13
0.00	6.88	8.808360e-12	8.149829e-12
0.00	6.92	3.980758e-11	3.864730e-11
0.00	6.96	1.216074e-10	1.206325e-10
0.00	7.00	2.997245e-10	3.007320e-10
0.00	7.04	6.460060e-10	6.526610e-10
0.00	7.08	1.275537e-09	1.294858e-09
0.00	7.12	2.367000e-09	2.412129e-09
0.00	7.16	4.186624e-09	4.281498e-09
0.00	7.20	7.064356e-09	7.248197e-09
0.00	7.24	1.136285e-08	1.169112e-08
0.00	7.28	1.748389e-08	1.802998e-08
0.00	7.32	2.584895e-08	2.670738e-08
0.00	7.36	3.689012e-08	3.817889e-08
0.00	7.40	5.102452e-08	5.288339e-08
0.00	7.44	6.859082e-08	7.117314e-08
0.00	7.48	8.977333e-08	9.322756e-08
0.00	7.52	1.146838e-07	1.191334e-07
0.00	7.56	1.435508e-07	1.490872e-07
0.00	7.60	1.768184e-07	1.834976e-07
0.00	7.64	2.152932e-07	2.231404e-07
0.00	7.68	2.603033e-07	2.693304e-07
0.00	7.72	3.137120e-07	3.239460e-07
0.00	7.76	3.779088e-07	3.894262e-07
0.00	7.80	4.558068e-07	4.687705e-07
0.00	7.84	5.505525e-07	5.652378e-07
0.00	7.88	6.653225e-07	6.821240e-07
0.00	7.92	8.033294e-07	8.227512e-07
0.00	7.96	9.677271e-07	9.903836e-07
0.00	8.00	1.161570e-06	1.188191e-06
0.00	8.04	1.387723e-06	1.419108e-06
0.00	8.08	1.648725e-06	1.685676e-06
0.00	8.12	1.946466e-06	1.989708e-06
0.00	8.16	2.282105e-06	2.332179e-06
0.00	8.20	2.655962e-06	2.713118e-06
