# redshift	 global evolution factor
0.00	1.0000e+00
0.01	9.9683e-01
0.02	9.9356e-01
0.03	9.9036e-01
0.04	9.8693e-01
0.05	9.8336e-01
0.06	9.7971e-01
0.07	9.7611e-01
0.08	9.7249e-01
0.09	9.6859e-01
0.10	9.6475e-01
0.11	9.6096e-01
0.12	9.5696e-01
0.13	9.5320e-01
0.14	9.4918e-01
0.15	9.4510e-01
0.16	9.4095e-01
0.17	9.3688e-01
0.18	9.3270e-01
0.19	9.2858e-01
0.20	9.2453e-01
0.21	9.2018e-01
0.22	9.1592e-01
0.23	9.1176e-01
0.24	9.0729e-01
0.25	9.0299e-01
0.26	8.9874e-01
0.27	8.9437e-01
0.28	8.9016e-01
0.29	8.8568e-01
0.30	8.8129e-01
0.31	8.7679e-01
0.32	8.7231e-01
0.33	8.6786e-01
0.34	8.6339e-01
0.35	8.5887e-01
0.36	8.5436e-01
0.37	8.4982e-01
0.38	8.4534e-01
0.39	8.4085e-01
0.40	8.3632e-01
0.41	8.3179e-01
0.42	8.2727e-01
0.43	8.2268e-01
0.44	8.1821e-01
0.45	8.1366e-01
0.46	8.0906e-01
0.47	8.0449e-01
0.48	7.9994e-01
0.49	7.9542e-01
0.50	7.9100e-01
0.51	7.8572e-01
0.52	7.8157e-01
0.53	7.7714e-01
0.54	7.7260e-01
0.55	7.6803e-01
0.56	7.6355e-01
0.57	7.5911e-01
0.58	7.5456e-01
0.59	7.4998e-01
0.60	7.4548e-01
0.61	7.4095e-01
0.62	7.3649e-01
0.63	7.3201e-01
0.64	7.2756e-01
0.65	7.2309e-01
0.66	7.1862e-01
0.67	7.1416e-01
0.68	7.0968e-01
0.69	7.0528e-01
0.70	7.0081e-01
0.71	6.9641e-01
0.72	6.9203e-01
0.73	6.8761e-01
0.74	6.8327e-01
0.75	6.7886e-01
0.76	6.7452e-01
0.77	6.7015e-01
0.78	6.6585e-01
0.79	6.6151e-01
0.80	6.5719e-01
0.81	6.5285e-01
0.82	6.4861e-01
0.83	6.4432e-01
0.84	6.4006e-01
0.85	6.3579e-01
0.86	6.3155e-01
0.87	6.2734e-01
0.88	6.2314e-01
0.89	6.1896e-01
0.90	6.1475e-01
0.91	6.1059e-01
0.92	6.0645e-01
0.93	6.0230e-01
0.94	5.9818e-01
0.95	5.9405e-01
0.96	5.8993e-01
0.97	5.8585e-01
0.98	5.8181e-01
0.99	5.7777e-01
1.00	5.7371e-01
1.01	5.6970e-01
1.02	5.6567e-01
1.03	5.6172e-01
1.04	5.5776e-01
1.05	5.5380e-01
1.06	5.4985e-01
1.07	5.4596e-01
1.08	5.4209e-01
1.09	5.3821e-01
1.10	5.3435e-01
1.11	5.3050e-01
1.12	5.2666e-01
1.13	5.2291e-01
1.14	5.1912e-01
1.15	5.1534e-01
1.16	5.1155e-01
1.17	5.0785e-01
1.18	5.0416e-01
1.19	5.0047e-01
1.20	4.9671e-01
1.21	4.9308e-01
1.22	4.8945e-01
1.23	4.8578e-01
1.24	4.8211e-01
1.25	4.7853e-01
1.26	4.7497e-01
1.27	4.7137e-01
1.28	4.6784e-01
1.29	4.6433e-01
1.30	4.6079e-01
1.31	4.5729e-01
1.32	4.5385e-01
1.33	4.5034e-01
1.34	4.4685e-01
1.35	4.4345e-01
1.36	4.4000e-01
1.37	4.3659e-01
1.38	4.3323e-01
1.39	4.2986e-01
1.40	4.2651e-01
1.41	4.2317e-01
1.42	4.1980e-01
1.43	4.1654e-01
1.44	4.1323e-01
1.45	4.0993e-01
1.46	4.0670e-01
1.47	4.0350e-01
1.48	4.0024e-01
1.49	3.9698e-01
1.50	3.9378e-01
1.51	3.9061e-01
1.52	3.8738e-01
1.53	3.8431e-01
1.54	3.8112e-01
1.55	3.7805e-01
1.56	3.7491e-01
1.57	3.7185e-01
1.58	3.6874e-01
1.59	3.6570e-01
1.60	3.6263e-01
1.61	3.5963e-01
1.62	3.5657e-01
1.63	3.5360e-01
1.64	3.5060e-01
1.65	3.4767e-01
1.66	3.4467e-01
1.67	3.4178e-01
1.68	3.3883e-01
1.69	3.3593e-01
1.70	3.3306e-01
1.71	3.3018e-01
1.72	3.2732e-01
1.73	3.2444e-01
1.74	3.2167e-01
1.75	3.1885e-01
1.76	3.1604e-01
1.77	3.1327e-01
1.78	3.1050e-01
1.79	3.0773e-01
1.80	3.0503e-01
1.81	3.0232e-01
1.82	2.9960e-01
1.83	2.9692e-01
1.84	2.9426e-01
1.85	2.9159e-01
1.86	2.8895e-01
1.87	2.8634e-01
1.88	2.8373e-01
1.89	2.8113e-01
1.90	2.7855e-01
1.91	2.7599e-01
1.92	2.7345e-01
1.93	2.7089e-01
1.94	2.6838e-01
1.95	2.6589e-01
1.96	2.6341e-01
1.97	2.6093e-01
1.98	2.5847e-01
1.99	2.5603e-01
2.00	2.5361e-01
2.01	2.5116e-01
2.02	2.4879e-01
2.03	2.4640e-01
2.04	2.4404e-01
2.05	2.4168e-01
2.06	2.3935e-01
2.07	2.3701e-01
2.08	2.3471e-01
2.09	2.3241e-01
2.10	2.3013e-01
2.11	2.2785e-01
2.12	2.2559e-01
2.13	2.2337e-01
2.14	2.2116e-01
2.15	2.1894e-01
2.16	2.1675e-01
2.17	2.1458e-01
2.18	2.1242e-01
2.19	2.1026e-01
2.20	2.0812e-01
2.21	2.0600e-01
2.22	2.0391e-01
2.23	2.0181e-01
2.24	1.9972e-01
2.25	1.9767e-01
2.26	1.9562e-01
2.27	1.9359e-01
2.28	1.9157e-01
2.29	1.8957e-01
2.30	1.8760e-01
2.31	1.8562e-01
2.32	1.8366e-01
2.33	1.8171e-01
2.34	1.7978e-01
2.35	1.7787e-01
2.36	1.7596e-01
2.37	1.7408e-01
2.38	1.7221e-01
2.39	1.7036e-01
2.40	1.6850e-01
2.41	1.6668e-01
2.42	1.6486e-01
2.43	1.6306e-01
2.44	1.6126e-01
2.45	1.5948e-01
2.46	1.5773e-01
2.47	1.5597e-01
2.48	1.5425e-01
2.49	1.5254e-01
2.50	1.5083e-01
2.51	1.4915e-01
2.52	1.4745e-01
2.53	1.4579e-01
2.54	1.4414e-01
2.55	1.4249e-01
2.56	1.4087e-01
2.57	1.3928e-01
2.58	1.3768e-01
2.59	1.3608e-01
2.60	1.3452e-01
2.61	1.3295e-01
2.62	1.3142e-01
2.63	1.2990e-01
2.64	1.2838e-01
2.65	1.2687e-01
2.66	1.2537e-01
2.67	1.2392e-01
2.68	1.2246e-01
2.69	1.2100e-01
2.70	1.1955e-01
2.71	1.1815e-01
2.72	1.1673e-01
2.73	1.1532e-01
2.74	1.1396e-01
2.75	1.1258e-01
2.76	1.1121e-01
2.77	1.0988e-01
2.78	1.0854e-01
2.79	1.0720e-01
2.80	1.0592e-01
2.81	1.0460e-01
2.82	1.0334e-01
2.83	1.0206e-01
2.84	1.0081e-01
2.85	9.9574e-02
2.86	9.8323e-02
2.87	9.7091e-02
2.88	9.5880e-02
2.89	9.4674e-02
2.90	9.3503e-02
2.91	9.2309e-02
2.92	9.1157e-02
2.93	9.0000e-02
2.94	8.8854e-02
2.95	8.7732e-02
2.96	8.6615e-02
2.97	8.5492e-02
2.98	8.4404e-02
2.99	8.3330e-02
3.00	8.2252e-02
3.01	8.1190e-02
3.02	8.0131e-02
3.03	7.9098e-02
3.04	7.8069e-02
3.05	7.7057e-02
3.06	7.6050e-02
3.07	7.5051e-02
3.08	7.4065e-02
3.09	7.3082e-02
3.10	7.2122e-02
3.11	7.1168e-02
3.12	7.0222e-02
3.13	6.9292e-02
3.14	6.8372e-02
3.15	6.7453e-02
3.16	6.6544e-02
3.17	6.5661e-02
