# redshift	 global evolution factor
0.00	1.0000e+00
0.10	9.7970e-01
0.20	9.5531e-01
0.30	9.2475e-01
0.40	8.9785e-01
0.50	8.5958e-01
0.60	8.2411e-01
0.70	7.8178e-01
0.80	7.3595e-01
0.90	6.8476e-01
1.00	6.2787e-01
1.10	5.7181e-01
1.20	5.1810e-01
1.30	4.6985e-01
1.40	4.2879e-01
1.50	3.9278e-01
1.60	3.6124e-01
1.70	3.3325e-01
1.80	3.0807e-01
1.90	2.8526e-01
2.00	2.6434e-01
2.10	2.4505e-01
2.20	2.2735e-01
2.30	2.1075e-01
2.40	1.9543e-01
2.50	1.8117e-01
2.60	1.6794e-01
2.70	1.5570e-01
2.80	1.4447e-01
2.90	1.3421e-01
3.00	1.2466e-01
3.10	1.1578e-01
3.20	1.0751e-01
3.30	9.9770e-02
3.40	9.2522e-02
3.50	8.5688e-02
3.60	7.9252e-02
3.70	7.3232e-02
3.80	6.7598e-02
3.90	6.2281e-02
4.00	5.7293e-02
4.10	5.2584e-02
4.20	4.8117e-02
4.30	4.3904e-02
4.40	3.9931e-02
4.50	3.6176e-02
4.60	3.2619e-02
4.70	2.9238e-02
4.80	2.6053e-02
4.90	2.3028e-02
5.00	2.0162e-02
