# redshift	 global evolution factor
0.00	1.0000e+00
0.01	9.9688e-01
0.02	9.9304e-01
0.03	9.9010e-01
0.04	9.8667e-01
0.05	9.8300e-01
0.06	9.7951e-01
0.07	9.7629e-01
0.08	9.7253e-01
0.09	9.6897e-01
0.10	9.6529e-01
0.11	9.6161e-01
0.12	9.5798e-01
0.13	9.5402e-01
0.14	9.5023e-01
0.15	9.4640e-01
0.16	9.4278e-01
0.17	9.3862e-01
0.18	9.3479e-01
0.19	9.3099e-01
0.20	9.2671e-01
0.21	9.2291e-01
0.22	9.1895e-01
0.23	9.1466e-01
0.24	9.1072e-01
0.25	9.0651e-01
0.26	9.0244e-01
0.27	8.9862e-01
0.28	8.9422e-01
0.29	8.9029e-01
0.30	8.8579e-01
0.31	8.8176e-01
0.32	8.7755e-01
0.33	8.7312e-01
0.34	8.6905e-01
0.35	8.6456e-01
0.36	8.5998e-01
0.37	8.5595e-01
0.38	8.5132e-01
0.39	8.4707e-01
0.40	8.4285e-01
0.41	8.3826e-01
0.42	8.3407e-01
0.43	8.2953e-01
0.44	8.2496e-01
0.45	8.2068e-01
0.46	8.1647e-01
0.47	8.1166e-01
0.48	8.0728e-01
0.49	8.0268e-01
0.50	7.9790e-01
0.51	7.9366e-01
0.52	7.8908e-01
0.53	7.8446e-01
0.54	7.7982e-01
0.55	7.7537e-01
0.56	7.7072e-01
0.57	7.6622e-01
0.58	7.6127e-01
0.59	7.5690e-01
0.60	7.5219e-01
0.61	7.4794e-01
0.62	7.4341e-01
0.63	7.3879e-01
0.64	7.3411e-01
0.65	7.2922e-01
0.66	7.2463e-01
0.67	7.2007e-01
0.68	7.1565e-01
0.69	7.1130e-01
0.70	7.0636e-01
0.71	7.0153e-01
0.72	6.9711e-01
0.73	6.9249e-01
0.74	6.8772e-01
0.75	6.8305e-01
0.76	6.7853e-01
0.77	6.7372e-01
0.78	6.6907e-01
0.79	6.6446e-01
0.80	6.5998e-01
0.81	6.5535e-01
0.82	6.5084e-01
0.83	6.4639e-01
0.84	6.4158e-01
0.85	6.3715e-01
0.86	6.3240e-01
0.87	6.2791e-01
0.88	6.2314e-01
0.89	6.1856e-01
0.90	6.1406e-01
0.91	6.0969e-01
0.92	6.0486e-01
0.93	6.0033e-01
0.94	5.9597e-01
0.95	5.9127e-01
0.96	5.8671e-01
0.97	5.8211e-01
0.98	5.7790e-01
0.99	5.7332e-01
1.00	5.6876e-01
1.01	5.6442e-01
1.02	5.5998e-01
1.03	5.5552e-01
1.04	5.5090e-01
1.05	5.4662e-01
1.06	5.4230e-01
1.07	5.3787e-01
1.08	5.3362e-01
1.09	5.2907e-01
1.10	5.2465e-01
1.11	5.2059e-01
1.12	5.1637e-01
1.13	5.1209e-01
1.14	5.0767e-01
1.15	5.0360e-01
1.16	4.9919e-01
1.17	4.9498e-01
1.18	4.9074e-01
1.19	4.8675e-01
1.20	4.8255e-01
1.21	4.7841e-01
1.22	4.7428e-01
1.23	4.7020e-01
1.24	4.6612e-01
1.25	4.6206e-01
1.26	4.5798e-01
1.27	4.5395e-01
1.28	4.4997e-01
1.29	4.4601e-01
1.30	4.4205e-01
1.31	4.3810e-01
1.32	4.3414e-01
1.33	4.3031e-01
1.34	4.2639e-01
1.35	4.2257e-01
1.36	4.1872e-01
1.37	4.1494e-01
1.38	4.1114e-01
1.39	4.0737e-01
1.40	4.0362e-01
1.41	3.9993e-01
1.42	3.9623e-01
1.43	3.9256e-01
1.44	3.8891e-01
1.45	3.8526e-01
1.46	3.8164e-01
1.47	3.7810e-01
1.48	3.7454e-01
1.49	3.7103e-01
1.50	3.6750e-01
1.51	3.6401e-01
1.52	3.6055e-01
1.53	3.5713e-01
1.54	3.5370e-01
1.55	3.5030e-01
1.56	3.4694e-01
1.57	3.4362e-01
1.58	3.4026e-01
1.59	3.3697e-01
1.60	3.3371e-01
1.61	3.3045e-01
1.62	3.2725e-01
1.63	3.2404e-01
1.64	3.2081e-01
1.65	3.1773e-01
1.66	3.1457e-01
1.67	3.1146e-01
1.68	3.0838e-01
1.69	3.0530e-01
1.70	3.0229e-01
