# redshift	 global evolution factor
0.00	1.0000e+00
0.01	9.9702e-01
0.02	9.9382e-01
0.03	9.9085e-01
0.04	9.8775e-01
0.05	9.8440e-01
0.06	9.8109e-01
0.07	9.7758e-01
0.08	9.7431e-01
0.09	9.7099e-01
0.10	9.6748e-01
0.11	9.6395e-01
0.12	9.6046e-01
0.13	9.5680e-01
0.14	9.5335e-01
0.15	9.4981e-01
0.16	9.4615e-01
0.17	9.4234e-01
0.18	9.3878e-01
0.19	9.3500e-01
0.20	9.3131e-01
0.21	9.2731e-01
0.22	9.2350e-01
0.23	9.1977e-01
0.24	9.1581e-01
0.25	9.1215e-01
0.26	9.0807e-01
0.27	9.0405e-01
0.28	9.0029e-01
0.29	8.9608e-01
0.30	8.9207e-01
0.31	8.8833e-01
0.32	8.8406e-01
0.33	8.8000e-01
0.34	8.7577e-01
0.35	8.7187e-01
0.36	8.6778e-01
0.37	8.6342e-01
0.38	8.5921e-01
0.39	8.5519e-01
0.40	8.5089e-01
0.41	8.4670e-01
0.42	8.4255e-01
0.43	8.3822e-01
0.44	8.3388e-01
0.45	8.2981e-01
0.46	8.2550e-01
0.47	8.2126e-01
0.48	8.1678e-01
0.49	8.1254e-01
0.50	8.0835e-01
0.51	8.0374e-01
0.52	7.9956e-01
0.53	7.9511e-01
0.54	7.9073e-01
0.55	7.8649e-01
0.56	7.8210e-01
0.57	7.7784e-01
0.58	7.7315e-01
0.59	7.6882e-01
0.60	7.6440e-01
0.61	7.5994e-01
0.62	7.5548e-01
0.63	7.5103e-01
0.64	7.4665e-01
0.65	7.4229e-01
0.66	7.3771e-01
0.67	7.3336e-01
0.68	7.2905e-01
0.69	7.2456e-01
0.70	7.1998e-01
0.71	7.1553e-01
0.72	7.1106e-01
0.73	7.0665e-01
0.74	7.0224e-01
0.75	6.9761e-01
0.76	6.9320e-01
0.77	6.8884e-01
0.78	6.8412e-01
0.79	6.7979e-01
0.80	6.7517e-01
0.81	6.7085e-01
0.82	6.6651e-01
0.83	6.6186e-01
0.84	6.5749e-01
0.85	6.5297e-01
0.86	6.4859e-01
0.87	6.4420e-01
0.88	6.3972e-01
0.89	6.3524e-01
0.90	6.3084e-01
0.91	6.2640e-01
0.92	6.2215e-01
0.93	6.1769e-01
0.94	6.1336e-01
0.95	6.0889e-01
0.96	6.0441e-01
0.97	6.0028e-01
0.98	5.9579e-01
0.99	5.9143e-01
1.00	5.8715e-01
1.01	5.8300e-01
1.02	5.7851e-01
1.03	5.7424e-01
1.04	5.6994e-01
1.05	5.6569e-01
