# x	: fraction synchrotron photon frequency to critical frequency
# log10(x)	CDF
# 
-6.00000e+00	0.00000e+00
-5.99000e+00	5.02674e-10
-5.98000e+00	1.02102e-09
-5.97000e+00	1.55553e-09
-5.96000e+00	2.10669e-09
-5.95000e+00	2.67505e-09
-5.94000e+00	3.26112e-09
-5.93000e+00	3.86546e-09
-5.92000e+00	4.48864e-09
-5.91000e+00	5.13126e-09
-5.90000e+00	5.79390e-09
-5.89000e+00	6.47720e-09
-5.88000e+00	7.18181e-09
-5.87000e+00	7.90838e-09
-5.86000e+00	8.65761e-09
-5.85000e+00	9.43019e-09
-5.84000e+00	1.02269e-08
-5.83000e+00	1.10484e-08
-5.82000e+00	1.18955e-08
-5.81000e+00	1.27690e-08
-5.80000e+00	1.36698e-08
-5.79000e+00	1.45986e-08
-5.78000e+00	1.55564e-08
-5.77000e+00	1.65440e-08
-5.76000e+00	1.75625e-08
-5.75000e+00	1.86127e-08
-5.74000e+00	1.96956e-08
-5.73000e+00	2.08123e-08
-5.72000e+00	2.19638e-08
-5.71000e+00	2.31512e-08
-5.70000e+00	2.43757e-08
-5.69000e+00	2.56383e-08
-5.68000e+00	2.69402e-08
-5.67000e+00	2.82828e-08
-5.66000e+00	2.96672e-08
-5.65000e+00	3.10947e-08
-5.64000e+00	3.25668e-08
-5.63000e+00	3.40848e-08
-5.62000e+00	3.56500e-08
-5.61000e+00	3.72641e-08
-5.60000e+00	3.89285e-08
-5.59000e+00	4.06448e-08
-5.58000e+00	4.24146e-08
-5.57000e+00	4.42395e-08
-5.56000e+00	4.61214e-08
-5.55000e+00	4.80619e-08
-5.54000e+00	5.00629e-08
-5.53000e+00	5.21263e-08
-5.52000e+00	5.42540e-08
-5.51000e+00	5.64481e-08
-5.50000e+00	5.87105e-08
-5.49000e+00	6.10435e-08
-5.48000e+00	6.34492e-08
-5.47000e+00	6.59299e-08
-5.46000e+00	6.84880e-08
-5.45000e+00	7.11257e-08
-5.44000e+00	7.38457e-08
-5.43000e+00	7.66506e-08
-5.42000e+00	7.95428e-08
-5.41000e+00	8.25252e-08
-5.40000e+00	8.56006e-08
-5.39000e+00	8.87718e-08
-5.38000e+00	9.20420e-08
-5.37000e+00	9.54140e-08
-5.36000e+00	9.88912e-08
-5.35000e+00	1.02477e-07
-5.34000e+00	1.06174e-07
-5.33000e+00	1.09987e-07
-5.32000e+00	1.13918e-07
-5.31000e+00	1.17972e-07
-5.30000e+00	1.22153e-07
-5.29000e+00	1.26463e-07
-5.28000e+00	1.30908e-07
-5.27000e+00	1.35492e-07
-5.26000e+00	1.40219e-07
-5.25000e+00	1.45092e-07
-5.24000e+00	1.50118e-07
-5.23000e+00	1.55301e-07
-5.22000e+00	1.60645e-07
-5.21000e+00	1.66155e-07
-5.20000e+00	1.71838e-07
-5.19000e+00	1.77697e-07
-5.18000e+00	1.83740e-07
-5.17000e+00	1.89970e-07
-5.16000e+00	1.96395e-07
-5.15000e+00	2.03020e-07
-5.14000e+00	2.09852e-07
-5.13000e+00	2.16896e-07
-5.12000e+00	2.24160e-07
-5.11000e+00	2.31651e-07
-5.10000e+00	2.39375e-07
-5.09000e+00	2.47340e-07
-5.08000e+00	2.55553e-07
-5.07000e+00	2.64022e-07
-5.06000e+00	2.72755e-07
-5.05000e+00	2.81760e-07
-5.04000e+00	2.91046e-07
-5.03000e+00	3.00622e-07
-5.02000e+00	3.10496e-07
-5.01000e+00	3.20678e-07
-5.00000e+00	3.31177e-07
-4.99000e+00	3.42003e-07
-4.98000e+00	3.53167e-07
-4.97000e+00	3.64679e-07
-4.96000e+00	3.76550e-07
-4.95000e+00	3.88791e-07
-4.94000e+00	4.01413e-07
-4.93000e+00	4.14429e-07
-4.92000e+00	4.27850e-07
-4.91000e+00	4.41690e-07
-4.90000e+00	4.55961e-07
-4.89000e+00	4.70677e-07
-4.88000e+00	4.85852e-07
-4.87000e+00	5.01500e-07
-4.86000e+00	5.17635e-07
-4.85000e+00	5.34273e-07
-4.84000e+00	5.51430e-07
-4.83000e+00	5.69122e-07
-4.82000e+00	5.87365e-07
-4.81000e+00	6.06177e-07
-4.80000e+00	6.25575e-07
-4.79000e+00	6.45578e-07
-4.78000e+00	6.66204e-07
-4.77000e+00	6.87473e-07
-4.76000e+00	7.09406e-07
-4.75000e+00	7.32021e-07
-4.74000e+00	7.55342e-07
-4.73000e+00	7.79389e-07
-4.72000e+00	8.04186e-07
